iter	RMSE
0	2.481639047
1	2.461127979
2	2.433063676
3	2.411023716
4	2.388682627
5	2.371804025
6	2.344269089
7	2.314224533
8	2.285689045
9	2.279633506
10	2.249617595
11	2.22149601
12	2.198954482
13	2.172747086
14	2.147794654
15	2.126837526
16	2.104277135
17	2.084834704
18	2.061408831
19	2.038649071
20	2.02038991
21	2.004382409
22	1.981652506
23	1.958734317
24	1.937894074
25	1.913432499
26	1.893779938
27	1.869954792
28	1.850646524
29	1.833339813
30	1.808289639
31	1.784719082
32	1.774219994
33	1.753512221
34	1.739389073
35	1.723449591
36	1.705081137
37	1.68845243
38	1.671035218
39	1.660223943
40	1.644695362
41	1.631479702
42	1.622126877
43	1.60195884
44	1.582521742
45	1.569542906
46	1.560999709
47	1.547347029
48	1.530366489
49	1.510240553
50	1.491063553
51	1.47745838
52	1.472227625
53	1.459815726
54	1.448661977
55	1.431784351
56	1.41852392
57	1.404855222
58	1.392184078
59	1.380577034
60	1.364736132
61	1.349510689
62	1.33938352
63	1.329133096
64	1.316054768
65	1.299437492
66	1.286198199
67	1.271223445
68	1.265708188
69	1.258118755
70	1.243419893
71	1.233920831
72	1.223544578
73	1.214228518
74	1.207778012
75	1.196007651
76	1.186404165
77	1.17563938
78	1.163857666
79	1.152910845
80	1.146902756
81	1.138194034
82	1.129865436
83	1.119055109
84	1.112370455
85	1.106036969
86	1.096459565
87	1.087467012
88	1.079347163
89	1.066032723
90	1.054623714
91	1.045241336
92	1.034896994
93	1.026613197
94	1.017059346
95	1.013111396
96	1.0052766
97	0.9978564054
98	0.9930994699
99	0.9851673402
100	0.9764324588
101	0.9649815324
102	0.9567346603
103	0.9514184046
104	0.9417288643
105	0.9366633171
106	0.9308716854
107	0.9212654777
108	0.9122412277
109	0.9050047934
110	0.9015155117
111	0.8933684865
112	0.8862633516
113	0.8793021019
114	0.8702192719
115	0.8616014175
116	0.8539777103
117	0.8451725814
118	0.8381833898
119	0.8302213789
120	0.8236843603
121	0.8151245935
122	0.8099487978
123	0.8047465542
124	0.8004721917
125	0.7944361067
126	0.7896399647
127	0.7838360353
128	0.7794275207
129	0.772017598
130	0.7673598559
131	0.7615728661
132	0.7568582597
133	0.7516154445
134	0.7471192626
135	0.7419756159
136	0.734248957
137	0.7276817521
138	0.7236389269
139	0.7194159362
140	0.7147640415
141	0.7082521792
142	0.7047862056
143	0.7002808795
144	0.6958044471
145	0.6888134182
146	0.6835174274
147	0.6804042327
148	0.6749439494
149	0.6689043603
150	0.6645715567
151	0.6602084579
152	0.656088797
153	0.6496492895
154	0.6454044324
155	0.6417595861
156	0.6381560769
157	0.6346994892
158	0.6288156508
159	0.6231287286
160	0.6171709116
161	0.6114055163
162	0.608637001
163	0.6052499523
164	0.6019068164
165	0.5965903146
166	0.591326975
167	0.588081682
168	0.5836424822
169	0.5804708119
170	0.5765184673
171	0.5733510734
172	0.5686801601
173	0.5641740911
174	0.5585200927
175	0.5537706099
176	0.5500634954
177	0.5463534813
178	0.5434483756
179	0.5405759736
180	0.5375346661
181	0.5335940557
182	0.5308077983
183	0.5259563465
184	0.5212774064
185	0.5165665811
186	0.5138934189
187	0.5106418071
188	0.5078542079
189	0.5052573085
190	0.5028293815
191	0.4985358608
192	0.493560629
193	0.4897972661
194	0.4854928033
195	0.4812418647
196	0.4789326819
197	0.4769544606
198	0.4745578068
199	0.4704672612
200	0.4664560038
201	0.4641368794
202	0.4602735649
203	0.4564754566
204	0.4535575829
205	0.4506787857
206	0.4463776269
207	0.4427638654
208	0.4392110641
209	0.4364675922
210	0.4330097531
211	0.4308210254
212	0.428376708
213	0.4262441734
214	0.4240859455
215	0.4219646889
216	0.4198853156
217	0.4173293707
218	0.4152348843
219	0.4119264815
220	0.4087634082
221	0.4067460659
222	0.4036617097
223	0.4016949908
224	0.3997541821
225	0.397751523
226	0.395771361
227	0.3939006176
228	0.3919567601
229	0.3890174761
230	0.3871062814
231	0.3852167224
232	0.3833485939
233	0.3815016923
234	0.3796598236
235	0.3768360854
236	0.3750418119
237	0.3722903014
238	0.3704942737
239	0.3687187939
240	0.3668367621
241	0.3649780713
242	0.3622539986
243	0.3605756947
244	0.358882495
245	0.3572429414
246	0.3555656313
247	0.3539077665
248	0.3522691584
249	0.3497377173
250	0.3480206915
251	0.3463999606
252	0.3448110807
253	0.3432408023
254	0.3407471456
255	0.3391096313
256	0.3375842807
257	0.3352136583
258	0.3336739323
259	0.3320921811
260	0.3305302734
261	0.3290236621
262	0.3275651231
263	0.3260834407
264	0.3246454827
265	0.3232246904
266	0.3217706639
267	0.3195221702
268	0.3181288807
269	0.3166824398
270	0.3153885433
271	0.3140355184
272	0.3126988362
273	0.3104386809
274	0.3091902093
275	0.3079580424
276	0.3065978422
277	0.3053881852
278	0.3032888974
279	0.3011508902
280	0.2999784973
281	0.298821263
282	0.2976789631
283	0.296436144
284	0.2952086279
285	0.293242346
286	0.2921350128
287	0.2902162114
288	0.2882681946
289	0.2870792449
290	0.2859051134
291	0.2840437841
292	0.28298936
293	0.2810600917
294	0.2800308568
295	0.2788930458
296	0.2777696009
297	0.2759889012
298	0.2742813861
299	0.2732944999
300	0.2714659449
301	0.2698182877
302	0.2687058397
303	0.2677580266
304	0.2659958522
305	0.2650705574
306	0.2641531491
307	0.2630819724
308	0.2621802106
309	0.2604910461
310	0.2596107113
311	0.2587368802
312	0.2577046456
313	0.2557026549
314	0.2537275756
315	0.2520999679
316	0.2501522514
317	0.2491589342
318	0.2472427987
319	0.2453524112
320	0.2437665832
321	0.2419025031
322	0.2403473764
