iter	Passed	Remaining
0	0	386
1	1	334
2	1	316
3	2	299
4	2	292
5	2	281
6	3	269
7	3	258
8	3	251
9	4	245
10	4	240
11	4	236
12	5	232
13	5	234
14	6	234
15	6	235
16	6	236
17	7	238
18	7	240
19	8	239
20	8	237
21	8	235
22	9	236
23	9	235
24	10	234
25	10	233
26	10	231
27	11	230
28	11	228
29	11	227
30	12	225
31	12	222
32	12	221
33	13	219
34	13	218
35	13	216
36	14	215
37	14	213
38	14	212
39	15	211
40	15	210
41	15	209
42	16	209
43	16	208
44	16	207
45	17	206
46	17	208
47	18	209
48	18	209
49	19	210
50	19	209
51	19	209
52	20	208
53	20	207
54	20	206
55	21	205
56	21	204
57	21	203
58	22	202
59	22	202
60	22	201
61	23	200
62	23	199
63	23	198
64	23	197
65	24	196
66	24	195
67	24	193
68	25	192
69	25	191
70	25	190
71	25	189
72	26	188
73	26	188
74	26	186
75	26	185
76	27	183
77	27	182
78	27	181
79	27	179
80	27	178
81	28	177
82	28	177
83	28	175
84	28	174
85	29	173
86	29	172
87	29	171
88	29	171
89	30	170
90	30	170
91	30	170
92	31	170
93	31	169
94	31	169
95	32	168
96	32	167
97	32	167
98	32	166
99	33	165
100	33	165
101	33	164
102	33	164
103	34	163
104	34	162
105	34	161
106	34	160
107	35	159
108	35	158
109	35	157
110	35	156
111	35	155
112	35	154
113	36	153
114	36	152
115	36	151
116	36	150
117	36	149
118	37	149
119	37	149
120	37	149
121	37	148
122	38	147
123	38	146
124	38	146
125	38	145
126	38	144
127	39	143
128	39	143
129	39	142
130	39	141
131	39	141
132	39	140
133	40	139
134	40	138
135	40	137
136	40	137
137	40	136
138	40	135
139	41	134
140	41	133
141	41	133
142	41	132
143	41	131
144	41	131
145	41	130
146	42	129
147	42	129
148	42	128
149	42	127
150	42	127
151	42	126
152	43	125
153	43	125
154	43	124
155	43	123
156	43	123
157	43	122
158	43	121
159	44	121
160	44	120
161	44	119
162	44	119
163	44	118
164	44	118
165	44	117
166	45	116
167	45	116
168	45	115
169	45	115
170	45	114
171	45	114
172	45	113
173	46	112
174	46	112
175	46	111
176	46	111
177	46	110
178	46	110
179	47	109
180	47	109
181	47	108
182	47	108
183	47	107
184	47	107
185	47	106
186	48	106
187	48	105
188	48	105
189	48	104
190	48	104
191	48	103
192	48	103
193	49	102
194	49	102
195	49	101
196	49	101
197	49	101
