sheet,table,column,apparent_types,non_null,nulls,unique_non_null,max_string_length,completely_empty
01_Sources,source,source_id,"{""int"": 92}",92,0,92,0,no
01_Sources,source,source_type,"{""str"": 92}",92,0,4,8,no
01_Sources,source,title,"{""str"": 92}",92,0,92,188,no
01_Sources,source,authors,"{""str"": 44}",44,48,43,144,no
01_Sources,source,journal_or_org,"{""str"": 84}",84,8,49,53,no
01_Sources,source,year,"{""int"": 90}",90,2,16,0,no
01_Sources,source,doi,"{""str"": 73}",73,19,73,30,no
01_Sources,source,url,"{""str"": 92}",92,0,92,92,no
01_Sources,source,access_date,"{""int"": 92}",92,0,1,0,no
01_Sources,source,license_notes,"{""str"": 66}",66,26,4,25,no
01_Sources,source,peer_reviewed,"{""str"": 92}",92,0,3,7,no
01_Sources,source,evidence_quality,"{""str"": 92}",92,0,2,6,no
01_Sources,source,primary_or_secondary,"{""str"": 92}",92,0,2,9,no
01_Sources,source,notes,"{""str"": 92}",92,0,92,189,no
02_Biomass,biomass,biomass_id,"{""int"": 182}",182,0,182,0,no
02_Biomass,biomass,common_name,"{""str"": 182}",182,0,182,27,no
02_Biomass,biomass,scientific_name,{},0,182,0,0,yes
02_Biomass,biomass,species,{},0,182,0,0,yes
02_Biomass,biomass,genus,{},0,182,0,0,yes
02_Biomass,biomass,family,{},0,182,0,0,yes
02_Biomass,biomass,biomass_category,"{""str"": 182}",182,0,9,31,no
02_Biomass,biomass,residue_type,"{""str"": 182}",182,0,54,17,no
02_Biomass,biomass,plant_part,"{""str"": 177}",177,5,12,13,no
02_Biomass,biomass,country,{},0,182,0,0,yes
02_Biomass,biomass,region,{},0,182,0,0,yes
02_Biomass,biomass,origin_notes,{},0,182,0,0,yes
02_Biomass,biomass,description,"{""str"": 182}",182,0,182,101,no
02_Biomass,biomass,created_at,"{""int"": 182}",182,0,1,0,no
03_Composition,biomass_composition,composition_id,"{""int"": 305}",305,0,305,0,no
03_Composition,biomass_composition,biomass_id,"{""int"": 305}",305,0,132,0,no
03_Composition,biomass_composition,source_id,"{""int"": 305}",305,0,58,0,no
03_Composition,biomass_composition,sample_label,"{""str"": 305}",305,0,96,50,no
03_Composition,biomass_composition,measurement_basis,"{""str"": 305}",305,0,4,18,no
03_Composition,biomass_composition,analytical_method,"{""str"": 34}",34,271,10,39,no
03_Composition,biomass_composition,cellulose_pct,"{""float"": 157, ""int"": 84}",241,64,179,0,no
03_Composition,biomass_composition,hemicellulose_pct,"{""float"": 162, ""int"": 74}",236,69,172,0,no
03_Composition,biomass_composition,lignin_total_pct,"{""float"": 172, ""int"": 71}",243,62,179,0,no
03_Composition,biomass_composition,acid_insoluble_lignin_pct,"{""float"": 2}",2,303,2,0,no
03_Composition,biomass_composition,acid_soluble_lignin_pct,"{""float"": 1}",1,304,1,0,no
03_Composition,biomass_composition,glucan_pct,"{""float"": 3, ""int"": 2}",5,300,5,0,no
03_Composition,biomass_composition,xylan_pct,"{""float"": 2, ""int"": 1}",3,302,3,0,no
