molecule_id,preferred_name,molecule_role,property_name,unit_std,n_measurements,value_median,value_min,value_max,n_sources
6,furfural,platform_molecule,boiling_point,°C,1,161.55,161.55,161.55,1
7,furfuryl alcohol,intermediate,boiling_point,°C,1,171.0,171.0,171.0,1
8,2-methylfuran,fuel_candidate,boiling_point,°C,2,62.925,62.85,63.0,2
8,2-methylfuran,fuel_candidate,density,kg/m3,1,910.0,910.0,910.0,1
8,2-methylfuran,fuel_candidate,lower_heating_value,MJ/kg,1,31.2,31.2,31.2,1
8,2-methylfuran,fuel_candidate,octane_number,,1,103.0,103.0,103.0,1
13,cyclohexane,fuel_candidate,boiling_point,°C,1,80.78,80.78,80.78,1
14,gamma-valerolactone,fuel_candidate,boiling_point,°C,1,207.55,207.55,207.55,1
15,"2,5-dimethylfuran",fuel_candidate,boiling_point,°C,4,92.925,91.85,93.0,4
15,"2,5-dimethylfuran",fuel_candidate,density,kg/m3,2,889.85,889.7,890.0,2
15,"2,5-dimethylfuran",fuel_candidate,energy_density,MJ/L,2,30.0,30.0,30.0,2
15,"2,5-dimethylfuran",fuel_candidate,lower_heating_value,MJ/kg,2,33.55,33.3,33.8,2
15,"2,5-dimethylfuran",fuel_candidate,octane_number,,3,119.0,119.0,119.0,3
16,methyl levulinate,intermediate,boiling_point,°C,1,196.05,196.05,196.05,1
17,ethyl levulinate,intermediate,boiling_point,°C,1,205.85,205.85,205.85,1
18,tetrahydrofuran,fuel_candidate,boiling_point,°C,1,65.85,65.85,65.85,1
18,tetrahydrofuran,fuel_candidate,density,kg/m3,1,889.2,889.2,889.2,1
18,tetrahydrofuran,fuel_candidate,lower_heating_value,MJ/kg,1,34.6,34.6,34.6,1
19,2-methyltetrahydrofuran,fuel_candidate,boiling_point,°C,1,80.05,80.05,80.05,1
19,2-methyltetrahydrofuran,fuel_candidate,density,kg/m3,1,854.0,854.0,854.0,1
19,2-methyltetrahydrofuran,fuel_candidate,lower_heating_value,MJ/kg,1,32.8,32.8,32.8,1
19,2-methyltetrahydrofuran,fuel_candidate,octane_number,,1,86.0,86.0,86.0,1
20,"1,1-diethylcyclohexane",fuel_candidate,density,kg/m3,1,828.6,828.6,828.6,1
20,"1,1-diethylcyclohexane",fuel_candidate,energy_density,MJ/L,1,35.81,35.81,35.81,1
20,"1,1-diethylcyclohexane",fuel_candidate,flash_point,°C,1,49.2,49.2,49.2,1
20,"1,1-diethylcyclohexane",fuel_candidate,melting_point,°C,1,-54.4,-54.4,-54.4,1
20,"1,1-diethylcyclohexane",fuel_candidate,specific_energy,MJ/kg,1,43.6,43.6,43.6,1
21,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,density,kg/m3,1,825.8,825.8,825.8,1
21,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,energy_density,MJ/L,1,35.4,35.4,35.4,1
21,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,flash_point,°C,1,40.5,40.5,40.5,1
21,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,melting_point,°C,1,-75.0,-75.0,-75.0,1
21,"1,2,3,4-tetramethylcyclohexane",fuel_candidate,specific_energy,MJ/kg,1,43.26,43.26,43.26,1
22,"1,4-dimethylcyclooctane",fuel_candidate,density,kg/m3,1,827.0,827.0,827.0,1
22,"1,4-dimethylcyclooctane",fuel_candidate,energy_density,MJ/L,1,36.22,36.22,36.22,1
22,"1,4-dimethylcyclooctane",fuel_candidate,flash_point,°C,1,49.5,49.5,49.5,1
22,"1,4-dimethylcyclooctane",fuel_candidate,melting_point,°C,1,-78.0,-78.0,-78.0,1
22,"1,4-dimethylcyclooctane",fuel_candidate,specific_energy,MJ/kg,1,43.82,43.82,43.82,1
23,"1,1,4-trimethylcycloheptane",fuel_candidate,density,kg/m3,1,807.6,807.6,807.6,1
23,"1,1,4-trimethylcycloheptane",fuel_candidate,energy_density,MJ/L,1,34.83,34.83,34.83,1
23,"1,1,4-trimethylcycloheptane",fuel_candidate,flash_point,°C,1,42.5,42.5,42.5,1
23,"1,1,4-trimethylcycloheptane",fuel_candidate,specific_energy,MJ/kg,1,43.56,43.56,43.56,1
24,"1,1,5-trimethyl-2-pentylcyclohexane",fuel_candidate,density,kg/m3,1,812.6,812.6,812.6,1
24,"1,1,5-trimethyl-2-pentylcyclohexane",fuel_candidate,energy_density,MJ/L,1,35.0,35.0,35.0,1
24,"1,1,5-trimethyl-2-pentylcyclohexane",fuel_candidate,specific_energy,MJ/kg,1,43.46,43.46,43.46,1
168,cis-decalin,fuel_candidate,density,kg/m3,1,901.02,901.02,901.02,1
168,cis-decalin,fuel_candidate,energy_density,MJ/L,1,38.7,38.7,38.7,1
168,cis-decalin,fuel_candidate,melting_point,°C,1,-38.8,-38.8,-38.8,1
168,cis-decalin,fuel_candidate,specific_energy,MJ/kg,1,42.98,42.98,42.98,1
169,"1,2-dimethyl-cis-decalin",fuel_candidate,energy_density,MJ/L,1,32.6,32.6,32.6,1
169,"1,2-dimethyl-cis-decalin",fuel_candidate,specific_energy,MJ/kg,1,42.94,42.94,42.94,1
170,"1,3-dimethyl-cis-decalin",fuel_candidate,energy_density,MJ/L,1,32.55,32.55,32.55,1
170,"1,3-dimethyl-cis-decalin",fuel_candidate,specific_energy,MJ/kg,1,42.88,42.88,42.88,1
171,2-methylheptane,fuel_candidate,specific_energy,MJ/kg,1,44.82,44.82,44.82,1
172,ethylcyclohexane,fuel_candidate,specific_energy,MJ/kg,1,43.88,43.88,43.88,1
173,propylcyclohexane,fuel_candidate,specific_energy,MJ/kg,1,43.89,43.89,43.89,1
