evidence_route_id,biomass_molecule_id,biomass_id,biomass_name,start_molecule_id,start_molecule,fuel_molecule_id,fuel_molecule,steps,molecule_path_ids,molecule_path,reaction_ids,reaction_classes,route_yield_pct,yield_complete,max_temperature_c,max_pressure_bar_known,pressure_missing_steps,total_reaction_time_h_known,time_missing_steps,biomass_link_reported_yield,biomass_link_yield_unit,biomass_link_source_id
1,1,2,rice straw,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,19.35,g/L,23
2,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",dehydration -> hydrodeoxygenation,69.509,True,200.0,10.0,1,1.508333,0,,,50
3,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",dehydration -> hydrodeoxygenation,43.309999999999995,True,220.0,6.8,1,10.008333,0,,,50
4,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",dehydration -> hydrodeoxygenation,50.41,True,220.0,6.8,1,10.008333,0,,,50
5,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",dehydration -> hydrodeoxygenation,22.72,True,140.0,,2,15.008333,0,,,50
6,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",dehydration -> hydrodeoxygenation,23.43,True,220.0,10.0,1,6.008333,0,,,50
7,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",dehydration -> hydrodeoxygenation,67.23700000000001,True,200.0,20.0,1,2.008333,0,,,50
8,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",dehydration -> hydrodeoxygenation,,False,140.0,,2,15.008333,0,,,50
9,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",dehydration -> hydrodeoxygenation,42.812999999999995,True,260.0,,2,1.508333,0,,,50
10,2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",dehydration -> hydrodeoxygenation,10.65,True,140.0,62.0,1,1.008333,0,,,50
