route_id,biomass_id,biomass_name,start_molecule_id,start_molecule,fuel_molecule_id,fuel_molecule,steps,molecule_path_ids,molecule_path,reaction_ids,reaction_classes,route_yield_pct,yield_complete,max_temperature_c,max_pressure_bar_known,pressure_missing_steps,total_reaction_time_h_known,time_missing_steps,n_biomass_link_evidences,biomass_molecule_ids,biomass_link_source_ids
1,2,rice straw,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,1,1,23
2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",dehydration -> hydrodeoxygenation,69.509,True,200.0,10.0,1,1.508333,0,4,"2,4,6,8",50
3,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",dehydration -> hydrodeoxygenation,43.309999999999995,True,220.0,6.8,1,10.008333,0,4,"2,4,6,8",50
4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",dehydration -> hydrodeoxygenation,50.41,True,220.0,6.8,1,10.008333,0,4,"2,4,6,8",50
5,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",dehydration -> hydrodeoxygenation,22.72,True,140.0,,2,15.008333,0,4,"2,4,6,8",50
6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",dehydration -> hydrodeoxygenation,23.43,True,220.0,10.0,1,6.008333,0,4,"2,4,6,8",50
7,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",dehydration -> hydrodeoxygenation,67.23700000000001,True,200.0,20.0,1,2.008333,0,4,"2,4,6,8",50
8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",dehydration -> hydrodeoxygenation,,False,140.0,,2,15.008333,0,4,"2,4,6,8",50
9,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",dehydration -> hydrodeoxygenation,42.812999999999995,True,260.0,,2,1.508333,0,4,"2,4,6,8",50
10,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",dehydration -> hydrodeoxygenation,10.65,True,140.0,62.0,1,1.008333,0,4,"2,4,6,8",50
11,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,75",dehydration -> hydrodeoxygenation,67.45,True,140.0,,2,15.008333,0,4,"2,4,6,8",50
12,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,76",dehydration -> hydrodeoxygenation,24.14,True,300.0,,2,0.758333,0,4,"2,4,6,8",50
13,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,77",dehydration -> hydrodeoxygenation,57.510000000000005,True,190.0,,2,6.008333,0,4,"2,4,6,8",50
14,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,78",dehydration -> hydrodeoxygenation,71.0,True,140.0,10.0,1,2.008333,0,4,"2,4,6,8",50
15,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,79",dehydration -> hydrodeoxygenation,66.314,True,140.0,7.0,1,24.008333,0,4,"2,4,6,8",50
16,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,80",dehydration -> hydrodeoxygenation,69.58,True,180.0,10.0,1,2.008333,0,4,"2,4,6,8",50
17,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,81",dehydration -> hydrodeoxygenation,68.16,True,140.0,6.0795,1,6.008333,0,4,"2,4,6,8",50
18,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,82",dehydration -> hydrodeoxygenation,68.16,True,180.0,40.0,1,3.008333,0,4,"2,4,6,8",50
19,4,corn stover,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,4,"3,5,7,9",50
20,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",dehydration -> hydrodeoxygenation,69.509,True,200.0,10.0,1,1.508333,0,1,11,50
21,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",dehydration -> hydrodeoxygenation,43.309999999999995,True,220.0,6.8,1,10.008333,0,1,11,50
22,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",dehydration -> hydrodeoxygenation,50.41,True,220.0,6.8,1,10.008333,0,1,11,50
23,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",dehydration -> hydrodeoxygenation,22.72,True,140.0,,2,15.008333,0,1,11,50
24,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",dehydration -> hydrodeoxygenation,23.43,True,220.0,10.0,1,6.008333,0,1,11,50
25,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",dehydration -> hydrodeoxygenation,67.23700000000001,True,200.0,20.0,1,2.008333,0,1,11,50
26,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",dehydration -> hydrodeoxygenation,,False,140.0,,2,15.008333,0,1,11,50
27,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",dehydration -> hydrodeoxygenation,42.812999999999995,True,260.0,,2,1.508333,0,1,11,50
28,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",dehydration -> hydrodeoxygenation,10.65,True,140.0,62.0,1,1.008333,0,1,11,50
29,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,75",dehydration -> hydrodeoxygenation,67.45,True,140.0,,2,15.008333,0,1,11,50
30,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,76",dehydration -> hydrodeoxygenation,24.14,True,300.0,,2,0.758333,0,1,11,50
31,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,77",dehydration -> hydrodeoxygenation,57.510000000000005,True,190.0,,2,6.008333,0,1,11,50
32,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,78",dehydration -> hydrodeoxygenation,71.0,True,140.0,10.0,1,2.008333,0,1,11,50
33,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,79",dehydration -> hydrodeoxygenation,66.314,True,140.0,7.0,1,24.008333,0,1,11,50
34,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,80",dehydration -> hydrodeoxygenation,69.58,True,180.0,10.0,1,2.008333,0,1,11,50
35,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,81",dehydration -> hydrodeoxygenation,68.16,True,140.0,6.0795,1,6.008333,0,1,11,50
36,5,sugarcane bagasse,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,82",dehydration -> hydrodeoxygenation,68.16,True,180.0,40.0,1,3.008333,0,1,11,50
37,5,sugarcane bagasse,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",dehydration -> hydrodeoxygenation,85.19280000000002,True,180.0,20.0,1,0.25,1,1,10,50
38,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",dehydration -> hydrodeoxygenation,69.509,True,200.0,10.0,1,1.508333,0,1,13,50
39,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",dehydration -> hydrodeoxygenation,43.309999999999995,True,220.0,6.8,1,10.008333,0,1,13,50
40,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",dehydration -> hydrodeoxygenation,50.41,True,220.0,6.8,1,10.008333,0,1,13,50
41,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",dehydration -> hydrodeoxygenation,22.72,True,140.0,,2,15.008333,0,1,13,50
42,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",dehydration -> hydrodeoxygenation,23.43,True,220.0,10.0,1,6.008333,0,1,13,50
43,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",dehydration -> hydrodeoxygenation,67.23700000000001,True,200.0,20.0,1,2.008333,0,1,13,50
44,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",dehydration -> hydrodeoxygenation,,False,140.0,,2,15.008333,0,1,13,50
45,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",dehydration -> hydrodeoxygenation,42.812999999999995,True,260.0,,2,1.508333,0,1,13,50
46,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",dehydration -> hydrodeoxygenation,10.65,True,140.0,62.0,1,1.008333,0,1,13,50
47,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,75",dehydration -> hydrodeoxygenation,67.45,True,140.0,,2,15.008333,0,1,13,50
48,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,76",dehydration -> hydrodeoxygenation,24.14,True,300.0,,2,0.758333,0,1,13,50
49,12,corn cob,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,77",dehydration -> hydrodeoxygenation,57.510000000000005,True,190.0,,2,6.008333,0,1,13,50
