table,column,dtype,rows,non_null,null,null_pct,n_unique
source,source_id,int64,96,96,0,0.0,96
source,source_type,object,96,96,0,0.0,4
source,title,object,96,96,0,0.0,96
source,authors,object,96,48,48,50.0,47
source,journal_or_org,object,96,88,8,8.333333333333332,51
source,year,float64,96,94,2,2.083333333333333,16
source,doi,object,96,77,19,19.791666666666664,77
source,url,object,96,96,0,0.0,96
source,access_date,object,96,96,0,0.0,2
source,license_notes,object,96,70,26,27.083333333333332,7
source,peer_reviewed,object,96,96,0,0.0,3
source,evidence_quality,object,96,96,0,0.0,2
source,primary_or_secondary,object,96,96,0,0.0,2
source,notes,object,96,96,0,0.0,96
biomass,biomass_id,int64,183,183,0,0.0,183
biomass,common_name,object,183,183,0,0.0,182
biomass,scientific_name,object,183,0,183,100.0,0
biomass,species,object,183,0,183,100.0,0
biomass,genus,object,183,0,183,100.0,0
biomass,family,object,183,0,183,100.0,0
biomass,biomass_category,object,183,183,0,0.0,9
biomass,residue_type,object,183,183,0,0.0,55
biomass,plant_part,object,183,178,5,2.73224043715847,13
biomass,country,object,183,0,183,100.0,0
biomass,region,object,183,0,183,100.0,0
biomass,origin_notes,object,183,1,182,99.4535519125683,1
biomass,description,object,183,183,0,0.0,183
biomass,created_at,datetime64[ns],183,183,0,0.0,2
biomass_composition,composition_id,int64,306,306,0,0.0,306
biomass_composition,biomass_id,int64,306,306,0,0.0,133
biomass_composition,source_id,int64,306,306,0,0.0,59
biomass_composition,sample_label,object,306,306,0,0.0,97
biomass_composition,measurement_basis,object,306,306,0,0.0,4
biomass_composition,analytical_method,object,306,35,271,88.56209150326796,11
biomass_composition,cellulose_pct,float64,306,241,65,21.241830065359476,179
biomass_composition,hemicellulose_pct,float64,306,236,70,22.875816993464053,172
biomass_composition,lignin_total_pct,float64,306,244,62,20.26143790849673,180
biomass_composition,acid_insoluble_lignin_pct,float64,306,2,304,99.34640522875817,2
biomass_composition,acid_soluble_lignin_pct,float64,306,1,305,99.67320261437908,1
biomass_composition,glucan_pct,float64,306,6,300,98.0392156862745,6
biomass_composition,xylan_pct,float64,306,3,303,99.01960784313727,3
biomass_composition,arabinan_pct,float64,306,3,303,99.01960784313727,3
biomass_composition,mannan_pct,float64,306,2,304,99.34640522875817,2
biomass_composition,galactan_pct,float64,306,4,302,98.69281045751634,4
biomass_composition,extractives_pct,float64,306,27,279,91.17647058823529,27
biomass_composition,ash_pct,float64,306,93,213,69.6078431372549,85
biomass_composition,moisture_pct,float64,306,37,269,87.90849673202614,35
biomass_composition,protein_pct,float64,306,14,292,95.42483660130719,14
biomass_composition,lipids_pct,float64,306,7,299,97.7124183006536,7
biomass_composition,starch_pct,float64,306,6,300,98.0392156862745,6
biomass_composition,pectin_pct,float64,306,24,282,92.15686274509804,19
biomass_composition,volatile_matter_pct,float64,306,31,275,89.86928104575163,31
biomass_composition,fixed_carbon_pct,float64,306,31,275,89.86928104575163,30
biomass_composition,carbon_pct,float64,306,41,265,86.60130718954248,40
biomass_composition,hydrogen_pct,float64,306,39,267,87.25490196078431,37
biomass_composition,oxygen_pct,float64,306,32,274,89.54248366013073,32
biomass_composition,nitrogen_pct,float64,306,39,267,87.25490196078431,35
biomass_composition,sulfur_pct,float64,306,24,282,92.15686274509804,6
biomass_composition,chlorine_pct,object,306,0,306,100.0,0
biomass_composition,hhv_value,float64,306,24,282,92.15686274509804,24
biomass_composition,hhv_unit,object,306,24,282,92.15686274509804,1
biomass_composition,lhv_value,float64,306,6,300,98.0392156862745,6
biomass_composition,lhv_unit,object,306,6,300,98.0392156862745,1
biomass_composition,uncertainty_text,object,306,63,243,79.41176470588235,63
biomass_composition,n_replicates,float64,306,13,293,95.75163398692811,1
biomass_composition,country,object,306,74,232,75.81699346405229,10
biomass_composition,region,object,306,9,297,97.05882352941177,8
biomass_composition,page_table_figure,object,306,306,0,0.0,9
biomass_composition,notes,object,306,305,1,0.32679738562091504,110
molecule,molecule_id,int64,173,173,0,0.0,173
molecule,preferred_name,object,173,173,0,0.0,173
molecule,synonyms,object,173,16,157,90.7514450867052,16
molecule,canonical_smiles,object,173,18,155,89.59537572254335,18
molecule,inchi,object,173,20,153,88.4393063583815,20
molecule,inchikey,object,173,20,153,88.4393063583815,20
molecule,cas_number,object,173,20,153,88.4393063583815,20
molecule,molecular_formula,object,173,20,153,88.4393063583815,20
molecule,charge,float64,173,18,155,89.59537572254335,1
molecule,multiplicity,float64,173,3,170,98.26589595375722,1
molecule,molecule_role,object,173,173,0,0.0,4
molecule,renewable_origin,object,173,9,164,94.79768786127167,3
molecule,notes,object,173,173,0,0.0,24
biomass_molecule,biomass_molecule_id,int64,13,13,0,0.0,13
biomass_molecule,biomass_id,int64,13,13,0,0.0,4
biomass_molecule,molecule_id,int64,13,13,0,0.0,2
biomass_molecule,source_id,int64,13,13,0,0.0,2
biomass_molecule,fraction_origin,object,13,13,0,0.0,3
biomass_molecule,conversion_process,object,13,13,0,0.0,1
biomass_molecule,reported_yield,float64,13,5,8,61.53846153846154,5
biomass_molecule,yield_unit,object,13,5,8,61.53846153846154,2
biomass_molecule,temperature_c,float64,13,12,1,7.6923076923076925,2
biomass_molecule,pressure_bar,object,13,0,13,100.0,0
biomass_molecule,reaction_time_h,float64,13,13,0,0.0,3
biomass_molecule,evidence_level,object,13,13,0,0.0,2
biomass_molecule,page_table_figure,object,13,13,0,0.0,2
biomass_molecule,notes,object,13,13,0,0.0,7
reaction,reaction_id,int64,82,82,0,0.0,82
reaction,source_id,int64,82,82,0,0.0,13
reaction,reaction_name,object,82,82,0,0.0,8
reaction,reaction_class,object,82,82,0,0.0,3
reaction,temperature_c,float64,82,82,0,0.0,29
reaction,pressure_bar,float64,82,48,34,41.46341463414634,15
reaction,reaction_time_h,float64,82,62,20,24.390243902439025,18
reaction,catalyst_text,object,82,82,0,0.0,72
reaction,solvent_text,object,82,69,13,15.853658536585366,16
reaction,conversion_pct,float64,82,75,7,8.536585365853659,43
reaction,selectivity_pct,float64,82,32,50,60.97560975609756,25
reaction,yield_pct,float64,82,49,33,40.243902439024396,37
reaction,yield_basis,object,82,0,82,100.0,0
reaction,h2_consumption,object,82,0,82,100.0,0
reaction,h2_unit,object,82,0,82,100.0,0
reaction,trl,object,82,0,82,100.0,0
reaction,reactor_type,object,82,9,73,89.02439024390245,4
reaction,page_table_figure,object,82,82,0,0.0,10
reaction,notes,object,82,82,0,0.0,24
reaction_participant,participant_id,int64,164,164,0,0.0,164
reaction_participant,reaction_id,int64,164,164,0,0.0,82
reaction_participant,molecule_id,int64,164,164,0,0.0,12
reaction_participant,participant_role,object,164,164,0,0.0,2
reaction_participant,stoichiometric_coefficient,object,164,0,164,100.0,0
reaction_participant,notes,object,164,150,14,8.536585365853659,75
fuel_property,fuel_property_id,int64,64,64,0,0.0,64
fuel_property,molecule_id,int64,64,64,0,0.0,21
fuel_property,source_id,int64,64,64,0,0.0,6
fuel_property,property_name,object,64,64,0,0.0,8
fuel_property,value,float64,64,64,0,0.0,60
fuel_property,unit,object,64,59,5,7.8125,5
fuel_property,temperature_c,float64,64,2,62,96.875,2
fuel_property,pressure_bar,object,64,0,64,100.0,0
fuel_property,uncertainty,object,64,5,59,92.1875,3
fuel_property,measurement_method,object,64,64,0,0.0,10
fuel_property,value_origin,object,64,64,0,0.0,1
fuel_property,page_table_figure,object,64,64,0,0.0,6
fuel_property,notes,object,64,38,26,40.625,15
molecular_descriptor,descriptor_id,int64,4302,4302,0,0.0,4302
molecular_descriptor,molecule_id,int64,4302,4302,0,0.0,18
molecular_descriptor,descriptor_name,object,4302,4302,0,0.0,230
molecular_descriptor,descriptor_value,float64,4302,4302,0,0.0,1029
molecular_descriptor,unit,object,4302,54,4248,98.74476987447699,2
molecular_descriptor,software,object,4302,4302,0,0.0,1
molecular_descriptor,software_version,object,4302,4302,0,0.0,2
molecular_descriptor,calculation_date,object,4302,4302,0,0.0,1
molecular_descriptor,config_hash,object,4302,4302,0,0.0,3
molecular_descriptor,notes,object,4302,4302,0,0.0,3
quantum_calculation,calculation_id,int64,6,6,0,0.0,6
quantum_calculation,molecule_id,int64,6,6,0,0.0,4
quantum_calculation,conformer_id,object,6,0,6,100.0,0
quantum_calculation,software,object,6,6,0,0.0,2
quantum_calculation,software_version,object,6,6,0,0.0,3
quantum_calculation,method,object,6,6,0,0.0,3
quantum_calculation,basis_set,object,6,0,6,100.0,0
quantum_calculation,dispersion_correction,object,6,0,6,100.0,0
quantum_calculation,solvent_model,object,6,0,6,100.0,0
quantum_calculation,charge,int64,6,6,0,0.0,1
quantum_calculation,multiplicity,int64,6,6,0,0.0,1
quantum_calculation,status,object,6,6,0,0.0,1
quantum_calculation,started_at,datetime64[ns],6,6,0,0.0,6
quantum_calculation,finished_at,datetime64[ns],6,6,0,0.0,6
quantum_calculation,input_path,object,6,6,0,0.0,6
quantum_calculation,output_path,object,6,6,0,0.0,6
quantum_calculation,geometry_path,object,6,6,0,0.0,6
quantum_calculation,file_hash,object,6,6,0,0.0,6
quantum_calculation,runtime_seconds,float64,6,6,0,0.0,6
quantum_calculation,hardware_notes,object,6,6,0,0.0,4
quantum_property,quantum_property_id,int64,37,37,0,0.0,37
quantum_property,calculation_id,int64,37,37,0,0.0,3
quantum_property,property_name,object,37,37,0,0.0,17
quantum_property,value,float64,37,37,0,0.0,34
quantum_property,unit,object,37,37,0,0.0,6
quantum_property,notes,object,37,37,0,0.0,2
