variable,n,mean,sd,median,q1,q3,iqr,min,max,skew
cellulose_pct,48,34.45104166666667,15.322523574107432,36.08,26.38,42.5175,16.1375,4.4,71.0,0.06762210364867484
hemicellulose_pct,50,20.372200000000003,9.340135534130026,22.174999999999997,12.55,26.95,14.399999999999999,4.33,40.0,-0.12056968362026826
lignin_total_pct,53,14.890188679245284,10.060249746587584,14.12,7.52,19.8,12.280000000000001,0.7,50.62,0.9563265413959362
extractives_pct,11,13.977272727272727,12.330353677741034,13.2,4.0,18.75,14.75,2.2,40.0,1.0089966560440757
ash_pct,38,4.090263157894737,3.518855378119352,2.6500000000000004,1.4249999999999998,5.827500000000001,4.402500000000001,0.04,12.25,1.0215785972942801
moisture_pct,6,8.553333333333333,2.267030362978552,9.05,7.5825,10.0,2.4175000000000004,4.81,11.0,-0.8584468298238114
carbon_pct,12,46.48416666666666,3.1736083803007498,46.53,44.8875,48.21,3.322499999999998,41.68,52.8,0.21366831430532615
hydrogen_pct,12,5.993333333333333,0.7765463556184155,5.955,5.72,6.1525,0.4325000000000001,4.83,7.44,0.5394985043868468
oxygen_pct,9,44.29,4.488939184261689,44.38,42.46,47.67,5.210000000000001,34.6,50.06,-1.1453130584839326
hhv_value,8,18.5325,1.2560340077288625,18.78,18.185000000000002,19.35,1.1649999999999991,16.04,20.02,-1.1583686718175863
