var_a,var_b,n,spearman_rho,p_value,q_fdr_bh
cellulose_pct,hemicellulose_pct,48,0.44959830703521636,0.0013465699256765256,0.010772559405412205
cellulose_pct,lignin_total_pct,48,0.0497245067088678,0.7371512176737405,0.9484022252365222
cellulose_pct,ash_pct,20,-0.27980445754592126,0.23216485459596242,0.4336932193423142
hemicellulose_pct,lignin_total_pct,50,0.3330371936513635,0.01811457156148435,0.09661104832791655
hemicellulose_pct,ash_pct,22,-0.28805423345781905,0.19360461193327366,0.4336932193423142
lignin_total_pct,ash_pct,24,-0.3979125990999727,0.05414424553237733,0.17326158570360745
ash_pct,carbon_pct,11,-0.5545454545454546,0.07665233333978243,0.20440622223941982
ash_pct,hydrogen_pct,11,0.02727272727272728,0.9365584481926121,0.9484022252365222
ash_pct,oxygen_pct,8,-0.11904761904761905,0.7788857260523796,0.9484022252365222
ash_pct,hhv_value,8,-0.7142857142857144,0.046528232284167255,0.17326158570360745
carbon_pct,hydrogen_pct,12,-0.02097902097902098,0.9484022252365222,0.9484022252365222
carbon_pct,oxygen_pct,9,-0.43333333333333335,0.24395243588005172,0.4336932193423142
carbon_pct,hhv_value,8,0.9761904761904763,3.314396026200098e-05,0.0005303033641920157
hydrogen_pct,oxygen_pct,9,0.06666666666666667,0.8646897846262036,0.9484022252365222
hydrogen_pct,hhv_value,8,0.261904761904762,0.530922861565801,0.7722514350048015
oxygen_pct,hhv_value,8,-0.3333333333333334,0.4197530864197532,0.6716049382716051
