molecule_id,preferred_name,property_name,unit_std,n,mean,sd,min,max,n_sources,cv_pct
6,furfural,boiling_point,°C,1,161.55,,161.55,161.55,1,
7,furfuryl alcohol,boiling_point,°C,1,171.0,,171.0,171.0,1,
8,2-methylfuran,boiling_point,°C,2,62.925,0.10606601717797862,62.85,63.0,2,0.16855942340560767
8,2-methylfuran,density,kg/m3,1,910.0,,910.0,910.0,1,
8,2-methylfuran,lower_heating_value,MJ/kg,1,31.2,,31.2,31.2,1,
8,2-methylfuran,octane_number,,1,103.0,,103.0,103.0,1,
13,cyclohexane,boiling_point,°C,1,80.78,,80.78,80.78,1,
14,gamma-valerolactone,boiling_point,°C,1,207.55,,207.55,207.55,1,
15,"2,5-dimethylfuran",boiling_point,°C,4,92.675,0.5545268253204741,91.85,93.0,4,0.5983564341197455
15,"2,5-dimethylfuran",density,kg/m3,2,889.85,0.2121320343559321,889.7,890.0,2,0.023839077862103958
15,"2,5-dimethylfuran",energy_density,MJ/L,2,30.0,0.0,30.0,30.0,2,0.0
15,"2,5-dimethylfuran",lower_heating_value,MJ/kg,2,33.55,0.3535533905932738,33.3,33.8,2,1.053810404152828
15,"2,5-dimethylfuran",octane_number,,3,119.0,0.0,119.0,119.0,3,0.0
16,methyl levulinate,boiling_point,°C,1,196.05,,196.05,196.05,1,
17,ethyl levulinate,boiling_point,°C,1,205.85,,205.85,205.85,1,
18,tetrahydrofuran,boiling_point,°C,1,65.85,,65.85,65.85,1,
18,tetrahydrofuran,density,kg/m3,1,889.2,,889.2,889.2,1,
18,tetrahydrofuran,lower_heating_value,MJ/kg,1,34.6,,34.6,34.6,1,
19,2-methyltetrahydrofuran,boiling_point,°C,1,80.05,,80.05,80.05,1,
19,2-methyltetrahydrofuran,density,kg/m3,1,854.0,,854.0,854.0,1,
19,2-methyltetrahydrofuran,lower_heating_value,MJ/kg,1,32.8,,32.8,32.8,1,
19,2-methyltetrahydrofuran,octane_number,,1,86.0,,86.0,86.0,1,
20,"1,1-diethylcyclohexane",density,kg/m3,1,828.6,,828.6,828.6,1,
20,"1,1-diethylcyclohexane",energy_density,MJ/L,1,35.81,,35.81,35.81,1,
20,"1,1-diethylcyclohexane",flash_point,°C,1,49.2,,49.2,49.2,1,
20,"1,1-diethylcyclohexane",melting_point,°C,1,-54.4,,-54.4,-54.4,1,
20,"1,1-diethylcyclohexane",specific_energy,MJ/kg,1,43.6,,43.6,43.6,1,
21,"1,2,3,4-tetramethylcyclohexane",density,kg/m3,1,825.8,,825.8,825.8,1,
21,"1,2,3,4-tetramethylcyclohexane",energy_density,MJ/L,1,35.4,,35.4,35.4,1,
21,"1,2,3,4-tetramethylcyclohexane",flash_point,°C,1,40.5,,40.5,40.5,1,
21,"1,2,3,4-tetramethylcyclohexane",melting_point,°C,1,-75.0,,-75.0,-75.0,1,
21,"1,2,3,4-tetramethylcyclohexane",specific_energy,MJ/kg,1,43.26,,43.26,43.26,1,
22,"1,4-dimethylcyclooctane",density,kg/m3,1,827.0,,827.0,827.0,1,
22,"1,4-dimethylcyclooctane",energy_density,MJ/L,1,36.22,,36.22,36.22,1,
22,"1,4-dimethylcyclooctane",flash_point,°C,1,49.5,,49.5,49.5,1,
22,"1,4-dimethylcyclooctane",melting_point,°C,1,-78.0,,-78.0,-78.0,1,
22,"1,4-dimethylcyclooctane",specific_energy,MJ/kg,1,43.82,,43.82,43.82,1,
23,"1,1,4-trimethylcycloheptane",density,kg/m3,1,807.6,,807.6,807.6,1,
23,"1,1,4-trimethylcycloheptane",energy_density,MJ/L,1,34.83,,34.83,34.83,1,
23,"1,1,4-trimethylcycloheptane",flash_point,°C,1,42.5,,42.5,42.5,1,
23,"1,1,4-trimethylcycloheptane",specific_energy,MJ/kg,1,43.56,,43.56,43.56,1,
24,"1,1,5-trimethyl-2-pentylcyclohexane",density,kg/m3,1,812.6,,812.6,812.6,1,
24,"1,1,5-trimethyl-2-pentylcyclohexane",energy_density,MJ/L,1,35.0,,35.0,35.0,1,
24,"1,1,5-trimethyl-2-pentylcyclohexane",specific_energy,MJ/kg,1,43.46,,43.46,43.46,1,
168,cis-decalin,density,kg/m3,1,901.02,,901.02,901.02,1,
168,cis-decalin,energy_density,MJ/L,1,38.7,,38.7,38.7,1,
168,cis-decalin,melting_point,°C,1,-38.8,,-38.8,-38.8,1,
168,cis-decalin,specific_energy,MJ/kg,1,42.98,,42.98,42.98,1,
169,"1,2-dimethyl-cis-decalin",energy_density,MJ/L,1,32.6,,32.6,32.6,1,
169,"1,2-dimethyl-cis-decalin",specific_energy,MJ/kg,1,42.94,,42.94,42.94,1,
170,"1,3-dimethyl-cis-decalin",energy_density,MJ/L,1,32.55,,32.55,32.55,1,
170,"1,3-dimethyl-cis-decalin",specific_energy,MJ/kg,1,42.88,,42.88,42.88,1,
171,2-methylheptane,specific_energy,MJ/kg,1,44.82,,44.82,44.82,1,
172,ethylcyclohexane,specific_energy,MJ/kg,1,43.88,,43.88,43.88,1,
173,propylcyclohexane,specific_energy,MJ/kg,1,43.89,,43.89,43.89,1,
