fuel_property_id,molecule_id,source_id,property_name,value,unit,temperature_c,pressure_bar,uncertainty,measurement_method,value_origin,page_table_figure,notes,preferred_name,molecule_role,canonical_smiles,title,year,doi,value_std,unit_std,conversion
1,6,25,boiling_point,161.55,°C,,,±0.4 °C,NIST phase-change compilation (AVG),literature,Phase change data,Normalized from NIST value 434.7 ± 0.4 K to °C using T(°C)=T(K)-273.15. NIST reports an average of 11 values.,furfural,platform_molecule,C1=COC(=C1)C=O,"NIST Chemistry WebBook, SRD 69",,,161.55,°C,identity
2,7,25,boiling_point,171.0,°C,,,±2 °C,NIST/TRC literature compilation,literature,Normal boiling point,Normalized from 444.15 K to 171.00 °C. Underlying reference: Bremner and Keeys (1955); TRC-assigned uncertainty 2 K.,furfuryl alcohol,intermediate,C1=COC(=C1)CO,"NIST Chemistry WebBook, SRD 69",,,171.0,°C,identity
3,8,25,boiling_point,63.0,°C,,,±2 °C,NIST/TRC literature compilation,literature,Normal boiling point,Normalized from 336.15 K to 63.00 °C. Underlying reference: Scharf and Walters (1978); TRC-assigned uncertainty 2 K.,2-methylfuran,fuel_candidate,CC1=CC=CO1,"NIST Chemistry WebBook, SRD 69",,,63.0,°C,identity
4,15,25,boiling_point,93.0,°C,,,±2 °C,NIST/TRC literature compilation,literature,Normal boiling point,Normalized from 366.15 K to 93.00 °C. Underlying reference: Scharf and Walters (1978); TRC-assigned uncertainty 2 K.,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"NIST Chemistry WebBook, SRD 69",,,93.0,°C,identity
5,13,25,boiling_point,80.78,°C,,,±0.1 °C,NIST/TRC literature compilation,literature,Normal boiling point,"Normalized from 353.93 K to 80.78 °C. Underlying reference: Feng, Chou, et al. (1998); TRC-assigned uncertainty 0.1 K.",cyclohexane,fuel_candidate,C1CCCCC1,"NIST Chemistry WebBook, SRD 69",,,80.78,°C,identity
6,14,25,boiling_point,207.55,°C,,,,NIST compilation (BS),literature,Phase change data,Normalized from NIST value 480.7 K to 207.55 °C. Underlying reference: Aldrich Chemical Company Inc. (1990); no uncertainty stored because none is reported in the NIST entry.,gamma-valerolactone,fuel_candidate,CC1CCC(=O)O1,"NIST Chemistry WebBook, SRD 69",,,207.55,°C,identity
7,8,61,boiling_point,62.85,°C,,,,review compilation,literature,Table 1,Normalized from 336 K using T(°C)=T(K)-273.15.,2-methylfuran,fuel_candidate,CC1=CC=CO1,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,62.85,°C,identity
8,8,61,density,0.91,g/cm3,,,,review compilation,literature,Table 1,,2-methylfuran,fuel_candidate,CC1=CC=CO1,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,910.0,kg/m3,g/cm3_to_kg/m3_x1000
9,8,61,lower_heating_value,31.2,MJ/kg,,,,review compilation,literature,Table 1,,2-methylfuran,fuel_candidate,CC1=CC=CO1,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,31.2,MJ/kg,identity
10,8,61,octane_number,103.0,,,,,research octane number (RON),literature,Table 1,,2-methylfuran,fuel_candidate,CC1=CC=CO1,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,103.0,,identity
11,15,61,boiling_point,91.85,°C,,,,review compilation,literature,Table 1,Normalized from 365 K using T(°C)=T(K)-273.15.,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,91.85,°C,identity
12,15,61,density,0.89,g/cm3,,,,review compilation,literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,890.0,kg/m3,g/cm3_to_kg/m3_x1000
13,15,61,lower_heating_value,33.8,MJ/kg,,,,review compilation,literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,33.8,MJ/kg,identity
14,15,61,octane_number,119.0,,,,,research octane number (RON),literature,Table 1,,"2,5-dimethylfuran",fuel_candidate,CC1=CC=C(O1)C,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,119.0,,identity
15,18,61,boiling_point,65.85,°C,,,,review compilation,literature,Table 1,Normalized from 339 K using T(°C)=T(K)-273.15.,tetrahydrofuran,fuel_candidate,,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,65.85,°C,identity
16,18,61,density,0.8892,g/cm3,,,,review compilation,literature,Table 1,,tetrahydrofuran,fuel_candidate,,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,889.2,kg/m3,g/cm3_to_kg/m3_x1000
17,18,61,lower_heating_value,34.6,MJ/kg,,,,review compilation,literature,Table 1,,tetrahydrofuran,fuel_candidate,,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,34.6,MJ/kg,identity
18,19,61,boiling_point,80.05,°C,,,,review compilation,literature,Table 1,Normalized from 353.2 K using T(°C)=T(K)-273.15.,2-methyltetrahydrofuran,fuel_candidate,,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,80.05,°C,identity
19,19,61,density,0.854,g/cm3,,,,review compilation,literature,Table 1,,2-methyltetrahydrofuran,fuel_candidate,,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,854.0,kg/m3,g/cm3_to_kg/m3_x1000
20,19,61,lower_heating_value,32.8,MJ/kg,,,,review compilation,literature,Table 1,,2-methyltetrahydrofuran,fuel_candidate,,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,32.8,MJ/kg,identity
21,19,61,octane_number,86.0,,,,,research octane number (RON),literature,Table 1,,2-methyltetrahydrofuran,fuel_candidate,,"Recent Trends in the Production, Combustion and Modeling of Furan-Based Fuels",2018.0,10.3390/en11030512,86.0,,identity
22,20,62,specific_energy,43.6,MJ/kg,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1-diethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,43.6,MJ/kg,identity
23,20,62,energy_density,35.81,MJ/L,,,,source structure-property dataset,literature,Table 2,Source Table 2 combines literature/model-supported structure-property data; individual provenance is not further reclassified here.,"1,1-diethylcyclohexane",fuel_candidate,,Building Structure-Property Relationships of Cycloalkanes in Support of Their Use in Sustainable Aviation Fuels,2021.0,10.3389/fenrg.2021.771697,35.81,MJ/L,identity
