molecule_id,AvgIpc,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BCUT2D_MWHI,BCUT2D_MWLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
1,2.0754223906061027,2.4192139786332842,-2.368817634024752,2.184436367464322,-2.5790512396044134,4.8741638480852565,-0.2861114418889694,16.639742085644862,9.995184470406,2.6344089870615974,146.2188491003481,9.300964908321223,6.238174395098331,6.238174395098331,5.574586062669973,3.5620094695937103,3.5620094695937103,2.7194493173895746,2.7194493173895746,1.867059489777345,1.867059489777345,1.08173381058565,1.08173381058565,37.312774244841336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,25.532636974203527,180.063388104,0.9166666666666666,1.5,2.0,1.0,-0.24000000000000002,12.0,168.05999999999997,454.5175035427365,9.845034013605442,3.6489161032347726,1.5817587586505184,68.64284443677028,9.119537037037038,0.3935665160029449,9.119537037037038,0.183570328512782,0.5257870370370368,0.183570328512782,-1.568935185185185,-0.3935665160029449,-3.2213999999999987,35.98599999999999,180.156,5.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,5.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,30.269499928003576,24.41586555099321,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,2.9936419290949137,1.0,30.269499928003576,0.0,0.0,0.0,0.0,30.705892280328424,6.606881964512918,0.0,0.0,0.0,49.25,0.0,0.0,0.0,0.0,62.845411219044855,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,110.38000000000001,4.575925925925926,0.0,0.0,44.65722222222222,0.0,0.0,0.0,-7.040694444444445,-0.5257870370370368,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29015285452995804
2,1.9321601728882982,2.355681915963513,-2.314105610949074,2.12120412350192,-2.5219121461336242,4.806542271025373,-0.25170526129389387,16.62720345316681,10.063339826770592,2.515835979311492,102.6059378176129,7.723614639131598,5.213610530408746,5.213610530408746,4.625897657686229,2.9654212444428367,2.9654212444428367,2.2724291688504716,2.2724291688504716,1.474040131439216,1.474040131439216,0.7906384719647612,0.7906384719647612,24.601925892580123,0.0,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,4.736862953800049,20.426109579362823,150.05282342,1.0,1.6,2.1,1.0,-0.2,10.0,140.04999999999998,171.96225538705855,7.90204081632653,2.811342155009452,1.2778911564625854,57.48366857017767,8.876620370370372,0.3878997004049285,8.876620370370372,0.18311500623380847,0.15337962962962948,0.18311500623380847,-1.4131944444444449,-0.3878997004049285,-2.5823,29.979199999999988,150.13,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.0,25.162972533162872,18.31189916324491,6.290026729335213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,2.2215340457544075,1.0,25.162972533162872,0.0,0.0,0.0,0.0,24.601925892580123,6.606881964512918,0.0,0.0,0.0,49.2,0.0,0.0,0.0,0.0,51.63491743645586,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,90.15,4.468287037037037,0.0,0.0,35.25055555555556,0.0,0.0,0.0,-5.232129629629631,-0.15337962962962948,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30425032049783735
3,2.3403139841551672,1.958556938621485,-1.8188319869913785,2.033991984048891,-1.743348619159012,5.697856737988059,0.10913242083452902,16.364010028832272,10.436730894542922,2.857899491803967,201.82281909596475,6.690234444311989,4.702867765183109,4.702867765183109,4.363703305156273,2.5130904445872626,2.5130904445872626,1.5800421889447545,1.5800421889447545,0.9544284703600876,0.9544284703600876,0.5428150262666346,0.5428150262666346,0.0,4.794537184071822,0.0,12.367129383387361,12.046407942003999,0.0,6.06636706846161,6.06636706846161,0.0,0.0,9.523678331894054,126.031694052,1.6666666666666667,2.4444444444444446,2.7777777777777777,0.16666666666666666,-1.09,9.0,120.06299999999997,173.18323482748238,6.036422250316056,2.457568886884076,1.1744039645226125,51.911372464606785,9.96036186696901,0.4558356563162004,9.96036186696901,0.18481978253359987,0.15888888888888886,0.18481978253359987,-0.15888888888888886,-0.4558356563162004,0.5844,30.01829999999999,126.11099999999996,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,9.523678331894054,12.367129383387361,12.046407942003999,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,12.13273413692322,0.0,0.0,1.6483248344968333,1.0,14.318215515965875,6.286160523129555,0.0,0.0,0.0,6.606881964512918,0.0,23.653228974672103,0.0,0.0,9.444444444444445,0.0,0.0,0.0,0.0,11.39268791797026,6.606881964512918,0.0,16.315032021820706,16.54988507397657,0.0,0.0,0.0,50.44,4.763888888888889,0.0,9.96036186696901,8.436767762660619,0.0,0.6631018518518523,3.071712962962963,0.5963888888888889,-0.15888888888888886,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589595257065356
4,1.6135681581652277,1.9727861376577267,-1.8554969075600873,1.8737952059241767,-1.9785553717846094,5.796925125180281,-0.13794578924930959,16.36522258731239,10.233428994868646,3.1818458670936187,92.24140984101263,6.568914100752346,4.6779237388007795,4.6779237388007795,3.625897657686229,2.3389618694003893,2.3389618694003893,1.595753646345965,1.595753646345965,0.6909275441069209,0.6909275441069209,0.28296377205346046,0.28296377205346046,5.969305287951849,9.589074368143644,0.0,18.624888192216957,0.0,0.0,6.923737199690624,0.0,0.0,0.0,5.106527394840706,116.047344116,1.375,1.875,2.0,0.6,-0.8600000000000001,8.0,108.05199999999998,40.339203954130696,7.140000000000001,3.1819854216196277,5.14,47.31629743769952,10.084861111111111,0.4812206333209309,10.084861111111111,0.30328869968374067,0.04629629629629628,0.30328869968374067,-0.9164814814814812,-0.4812206333209309,0.4402,27.550799999999988,116.11599999999999,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,46.0,9.901064578912528,5.783244946364939,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,6.4208216229260096,2.839921988795518,0.0,14.69560176298435,11.75255023431679,0.0,0.0,0.0,19.765380445542643,0.0,0.0,0.0,0.0,8.625,0.0,0.0,0.0,0.0,16.859077629157497,9.589074368143644,0.0,19.765380445542643,0.0,0.0,0.0,0.0,54.370000000000005,0.0,0.0,19.83638888888889,8.01013888888889,0.0,-0.9929629629629624,0.0,0.10185185185185186,1.3779166666666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816626924315285
5,2.1228001749259824,2.287072812969885,-2.236795970395882,2.034704300322226,-2.464981960713016,4.792562123799777,-0.12299440537156883,16.394754911637893,10.042293650034019,3.985164450858579,104.6059378176129,9.723614639131597,6.406896212131348,6.406896212131348,5.540111220059325,3.481747671950046,3.481747671950046,2.4810286345909196,2.4810286345909196,1.5124781619578975,1.5124781619578975,0.6712088270938985,0.6712088270938985,37.62962948001904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63916436904423,182.079038168,0.6666666666666666,0.9166666666666666,1.0833333333333333,1.0,-0.24000000000000002,12.0,168.05999999999997,358.753229562491,11.760000000000002,5.413461330448892,3.015404674173516,69.32936411298864,8.95662037037037,0.393579134968567,8.95662037037037,0.11057860653131252,0.7258182161753588,0.11057860653131252,-1.6693055555555556,-0.393579134968567,-3.585399999999998,38.19879999999999,182.172,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,6.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,74.0,30.63916436904423,24.41586555099321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,5.305192103839915,0.0,30.63916436904423,0.0,0.0,0.0,0.0,24.41586555099321,13.213763929025836,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,68.26879384906327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.38000000000001,0.0,0.0,0.0,52.1769142101285,0.0,0.0,0.0,-6.391944444444444,-1.451636432350718,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612626527203185
6,2.139132575078347,1.8418899451137047,-1.6833751715561343,1.9220413316465248,-1.6459114979203346,5.694580576536034,0.10957973060819537,16.33729148653101,10.501457041144818,2.962094525806721,141.1235805057187,5.112884175122364,3.625897657686229,3.625897657686229,3.431851652578137,1.919545601879256,1.919545601879256,1.1332707073421948,1.1332707073421948,0.6593369410140687,0.6593369410140687,0.35831930379476873,0.35831930379476873,0.0,4.794537184071822,0.0,0.0,12.046407942003999,0.0,6.263162995639057,12.13273413692322,0.0,4.417150937053347,0.0,96.021129368,1.7142857142857142,2.5714285714285716,2.857142857142857,0.0,-1.05,7.0,92.05299999999998,66.31310982742876,4.118067226890756,1.598931214740438,0.6815770736917053,40.75219659801417,9.773842592592592,0.4615648134016627,9.773842592592592,0.18480086649586971,0.3750000000000002,0.18480086649586971,0.3750000000000002,-0.4615648134016627,1.0920999999999998,24.095499999999994,96.08499999999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,4.417150937053347,0.0,12.046407942003999,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,12.13273413692322,0.0,6.263162995639057,0.9406437476393176,1.0,9.211688121125169,6.286160523129555,0.0,0.0,0.0,0.0,0.0,24.156144551436718,0.0,0.0,8.571428571428571,0.0,0.0,0.0,0.0,6.286160523129555,0.0,0.0,10.554784602946263,22.813048069615622,0.0,0.0,0.0,30.21,4.614583333333334,0.0,9.773842592592592,0.0,0.0,0.3750000000000002,3.274537037037037,2.128703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4896950193353882
7,2.139132575078347,1.8525809591635811,-1.789645828571739,1.9624852182439274,-1.7172011423737095,4.949038542831342,0.2470022697992875,16.35255212949565,10.484144692373455,2.7626083414437685,120.63609436412281,5.112884175122364,3.7946194747192457,3.7946194747192457,3.431851652578137,2.064949363499039,2.064949363499039,1.2374773758177693,1.2374773758177693,0.7359378891141171,0.7359378891141171,0.4025448818005122,0.4025448818005122,0.0,0.0,0.0,6.606881964512918,5.760247418874442,0.0,6.263162995639057,12.13273413692322,0.0,0.0,9.523678331894054,98.036779432,1.7142857142857142,2.5714285714285716,2.857142857142857,0.2,-0.7600000000000001,7.0,92.05299999999998,66.31310982742876,4.40025641025641,1.7971563749580297,0.81015270053728,41.38490825016642,8.332731481481481,0.46690881342439633,8.332731481481481,0.12864401421936308,0.00694444444444442,0.12864401421936308,-0.00694444444444442,-0.46690881342439633,0.7719,24.63079999999999,98.10099999999998,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,9.523678331894054,12.367129383387361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,0.0,6.263162995639057,1.129706979877463,1.0,9.523678331894054,0.0,0.0,0.0,0.0,6.606881964512918,0.0,24.156144551436718,0.0,0.0,9.285714285714286,0.0,0.0,0.0,0.0,5.106527394840706,6.606881964512918,0.0,5.760247418874442,22.813048069615622,0.0,0.0,0.0,33.370000000000005,4.732638888888889,0.0,0.0,8.332731481481481,0.0,0.6111111111111114,3.4638425925925924,1.533287037037037,-0.00694444444444442,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.562462027989617
8,1.8638263900908159,1.7542868797014255,-1.686512360265907,1.9288971019272538,-1.4790398616728275,4.932245232446961,0.5340345909525056,16.331810320106246,10.516826885003017,3.049648321313926,107.4988650600484,4.405777393935816,3.6402990980327403,3.6402990980327403,2.893846850117352,1.8951682068889273,1.8951682068889273,1.2237010601067568,1.2237010601067568,0.6634344070931327,0.6634344070931327,0.36068497693851154,0.36068497693851154,0.0,0.0,0.0,0.0,0.0,5.760247418874442,0.0,6.263162995639057,19.056471336613843,0.0,4.417150937053347,82.041864812,1.6666666666666667,2.5,2.6666666666666665,0.2,-0.72,6.0,76.05399999999999,33.548875021634686,3.4693939393939397,1.1675410767171084,0.432338837275346,36.590674497970404,4.833333333333333,0.469664556492416,4.833333333333333,0.10017047607147558,0.9675925925925928,0.10017047607147558,0.9675925925925928,-0.469664556492416,1.58802,23.444999999999993,82.102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.417150937053347,5.760247418874442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.056471336613843,0.0,6.263162995639057,0.6751099892593019,1.0,4.417150937053347,0.0,0.0,0.0,0.0,6.923737199690624,0.0,24.156144551436718,0.0,0.0,8.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,5.760247418874442,22.813048069615622,0.0,0.0,0.0,13.14,4.833333333333333,0.0,0.0,0.0,0.0,0.9675925925925928,3.787037037037037,1.662037037037037,1.9166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4628605847396023
9,1.6856161633204378,1.7432187000138564,-1.8193535764132127,2.0225737403160666,-1.559498924160049,5.1797398060365785,0.4751166825208842,16.254620152063808,10.346234440824086,3.0214653097240864,134.10736969541455,5.112884175122364,3.833964941448087,3.833964941448087,3.393846850117352,2.1342904002729384,2.1342904002729384,1.3355491589367874,1.3355491589367874,0.756193600181959,0.756193600181959,0.4279941042701235,0.4279941042701235,0.0,0.0,0.0,0.0,5.749511833283905,0.0,0.0,24.26546827384644,6.06636706846161,0.0,5.106527394840706,94.041864812,1.0,1.5714285714285714,1.8571428571428572,0.0,-0.98,7.0,88.06499999999998,47.19725257297226,4.18611295681063,1.6461962159398054,0.9290591797144502,42.22563687169298,8.632222222222222,0.5079669948663066,8.632222222222222,0.11507481947527982,0.3217592592592595,0.11507481947527982,0.3217592592592595,-0.5079669948663066,1.3921999999999997,28.106799999999993,94.11299999999997,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5.106527394840706,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.19910120538483,12.13273413692322,0.0,0.0,0.9844519012854642,1.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,30.33183534230805,0.0,5.749511833283905,8.571428571428571,0.0,0.0,5.749511833283905,0.0,5.106527394840706,0.0,0.0,0.0,30.33183534230805,0.0,0.0,0.0,20.23,0.0,0.0,0.0,8.632222222222222,0.0,0.3217592592592595,8.712685185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514729544768675
10,1.8934931172271934,1.9357138577099908,-1.9872980717789168,2.224673531587158,-1.8031102621429882,5.370720836721778,0.3732712808331073,16.473959000435126,10.308952917667566,3.0065240073265844,195.86256853719752,6.69023444431199,5.164862962722324,5.164862962722324,4.342535255101096,2.6633295026354,2.6633295026354,1.6718488391821222,1.6718488391821222,1.0851702186431136,1.0851702186431136,0.6297770429967046,0.6297770429967046,0.0,0.0,0.0,5.749511833283905,5.749511833283905,0.0,7.109797541277533,24.26546827384644,0.0,0.0,9.843390348640755,124.052429496,1.3333333333333333,2.0,2.4444444444444446,0.14285714285714285,-1.1800000000000002,9.0,116.07499999999997,130.65102508867633,5.947877237851663,2.3955617406597787,1.1340794947334671,53.704124215596465,8.98550925925926,0.5042548357902157,8.98550925925926,0.159973721120165,0.1805555555555558,0.159973721120165,0.1805555555555558,-0.5042548357902157,1.4008,34.6588,124.13899999999997,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,9.843390348640755,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273413692322,12.13273413692322,0.0,7.109797541277533,1.5831674610154005,1.0,9.843390348640755,0.0,0.0,0.0,0.0,0.0,7.109797541277533,24.26546827384644,0.0,11.49902366656781,9.0,4.736862953800049,0.0,11.49902366656781,0.0,12.216324936118239,0.0,0.0,0.0,24.26546827384644,0.0,0.0,0.0,29.46,4.794953703703704,0.0,0.0,8.98550925925926,0.0,0.69212962962963,6.837870370370371,0.0,0.0,1.5228703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6127725486570802
