molecule_id,preferred_name,status,canonicalized_smiles,formula
1,D-glucose,ok,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,C6H12O6
2,D-xylose,ok,OC1OC[C@@H](O)[C@H](O)[C@H]1O,C5H10O5
3,5-hydroxymethylfurfural,ok,O=Cc1ccc(CO)o1,C6H6O3
4,levulinic acid,ok,CC(=O)CCC(=O)O,C5H8O3
5,sorbitol,ok,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,C6H14O6
6,furfural,ok,O=Cc1ccco1,C5H4O2
7,furfuryl alcohol,ok,OCc1ccco1,C5H6O2
8,2-methylfuran,ok,Cc1ccco1,C5H6O
9,phenol,ok,Oc1ccccc1,C6H6O
10,guaiacol,ok,COc1ccccc1O,C7H8O2
11,syringol,ok,COc1cccc(OC)c1O,C8H10O3
12,catechol,ok,Oc1ccccc1O,C6H6O2
13,cyclohexane,ok,C1CCCCC1,C6H12
14,gamma-valerolactone,ok,CC1CCC(=O)O1,C5H8O2
15,"2,5-dimethylfuran",ok,Cc1ccc(C)o1,C6H8O
171,2-methylheptane,ok,CCCCCC(C)C,C8H18
172,ethylcyclohexane,ok,CCC1CCCCC1,C8H16
173,propylcyclohexane,ok,CCCC1CCCCC1,C9H18
