molecule_id,nearest_neighbor_tanimoto,mean_tanimoto,preferred_name
1,0.3076923076923077,0.06805815155170553,D-glucose
2,0.3076923076923077,0.06035890666256106,D-xylose
3,0.3333333333333333,0.11668807271360665,5-hydroxymethylfurfural
4,0.09090909090909091,0.05884980189955312,levulinic acid
5,0.1,0.04023171328409078,sorbitol
6,0.375,0.11555336504103107,furfural
7,0.375,0.1448916264122857,furfuryl alcohol
8,0.375,0.13416139315907116,2-methylfuran
9,0.5,0.1278666475891006,phenol
10,0.5909090909090909,0.14289304683344636,guaiacol
11,0.5909090909090909,0.13127030670326567,syringol
12,0.5,0.13780443934502354,catechol
13,0.21428571428571427,0.02984360410830999,cyclohexane
14,0.14285714285714285,0.07171130352288964,gamma-valerolactone
15,0.3684210526315789,0.11007308996473084,"2,5-dimethylfuran"
171,0.15384615384615385,0.04077419277609031,2-methylheptane
172,0.5789473684210527,0.08886027468320488,ethylcyclohexane
173,0.5789473684210527,0.08695490508571004,propylcyclohexane
