molecule_id,preferred_name,status,force_field,best_energy_kcal_mol,best_conf_id,n_embedded,n_kept_5kcal,best_xyz_path,ensemble_sdf_path,canonical_smiles,charge,multiplicity,molecule_role,charge_effective,multiplicity_effective,charge_origin,multiplicity_origin,rdkit_radical_electrons,eligible,exclusion_reason,electron_spin_parity_ok,input_sha256
1,D-glucose,ok,MMFF94,78.58415067908977,0,14,3,outputs\notebook_complete\conformers\molecule_0001_best.xyz,outputs\notebook_complete\conformers\molecule_0001_ensemble.sdf,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,0.0,1.0,platform_molecule,0.0,1.0,database,rdkit_closed_shell,0,True,,True,54d08833ea245bf40c57634c131e7cdb5c6083966b85272b61b69f68e6fa3d8a
2,D-xylose,ok,MMFF94,62.55955580241754,0,8,1,outputs\notebook_complete\conformers\molecule_0002_best.xyz,outputs\notebook_complete\conformers\molecule_0002_ensemble.sdf,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,0.0,1.0,platform_molecule,0.0,1.0,database,rdkit_closed_shell,0,True,,True,88fa5a26f92a1d0e634a307020ea9abc0646da18f2084cf0d8b42e7755df18fb
3,5-hydroxymethylfurfural,ok,MMFF94,22.852185610034574,0,4,3,outputs\notebook_complete\conformers\molecule_0003_best.xyz,outputs\notebook_complete\conformers\molecule_0003_ensemble.sdf,C1=C(OC(=C1)C=O)CO,0.0,1.0,platform_molecule,0.0,1.0,database,rdkit_closed_shell,0,True,,True,933f8df867e272d984eabd6d105386cd46e32dec259b706e974bf12dd19574ae
4,levulinic acid,ok,MMFF94,-37.003894722192406,1,12,12,outputs\notebook_complete\conformers\molecule_0004_best.xyz,outputs\notebook_complete\conformers\molecule_0004_ensemble.sdf,CC(=O)CCC(=O)O,0.0,1.0,platform_molecule,0.0,1.0,database,rdkit_closed_shell,0,True,,True,475b901a31fd18775b6ec521037356a988516db9f1fab03d00e7b280291a2ef7
5,sorbitol,ok,MMFF94,90.34677335301353,22,29,8,outputs\notebook_complete\conformers\molecule_0005_best.xyz,outputs\notebook_complete\conformers\molecule_0005_ensemble.sdf,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,0.0,1.0,platform_molecule,0.0,1.0,database,rdkit_closed_shell,0,True,,True,58add8cbe88faaf620e7be623bda1d4aa1a07c6b770ad1297e0bd96d374885eb
6,furfural,ok,MMFF94,18.182824322806127,1,2,2,outputs\notebook_complete\conformers\molecule_0006_best.xyz,outputs\notebook_complete\conformers\molecule_0006_ensemble.sdf,C1=COC(=C1)C=O,0.0,1.0,platform_molecule,0.0,1.0,database,rdkit_closed_shell,0,True,,True,e20fa29eb9a85157d9530dd3e3605dc1a1f7b5181fed5a83932e29fffa607ecd
7,furfuryl alcohol,ok,MMFF94,5.420873000329117,1,2,2,outputs\notebook_complete\conformers\molecule_0007_best.xyz,outputs\notebook_complete\conformers\molecule_0007_ensemble.sdf,C1=COC(=C1)CO,0.0,1.0,intermediate,0.0,1.0,database,rdkit_closed_shell,0,True,,True,b6abf3bd7e133823b268252fde9ef00824d34678cb460200cd3bd3d74a26fe63
8,2-methylfuran,ok,MMFF94,1.8062203127675274,0,1,1,outputs\notebook_complete\conformers\molecule_0008_best.xyz,outputs\notebook_complete\conformers\molecule_0008_ensemble.sdf,CC1=CC=CO1,0.0,1.0,fuel_candidate,0.0,1.0,database,rdkit_closed_shell,0,True,,True,61943b9450c5feb23f5280ddc68113a466357e4640d4267b991a43417a0cbd6d
9,phenol,ok,MMFF94,5.713261106108133,0,1,1,outputs\notebook_complete\conformers\molecule_0009_best.xyz,outputs\notebook_complete\conformers\molecule_0009_ensemble.sdf,C1=CC=C(C=C1)O,0.0,1.0,intermediate,0.0,1.0,database,rdkit_closed_shell,0,True,,True,18ca757eb4f4f11d049c4c2ca74a861c0d801441b1fef86d6b936e5d7d970be7
10,guaiacol,ok,MMFF94,19.323519959669316,0,1,1,outputs\notebook_complete\conformers\molecule_0010_best.xyz,outputs\notebook_complete\conformers\molecule_0010_ensemble.sdf,COC1=CC=CC=C1O,0.0,1.0,intermediate,0.0,1.0,database,rdkit_closed_shell,0,True,,True,6fed79fe003d94c5e5ba0d514a1042ffbd83c034870707a574c494cd9a93ac13
11,syringol,ok,MMFF94,40.03867495445486,0,1,1,outputs\notebook_complete\conformers\molecule_0011_best.xyz,outputs\notebook_complete\conformers\molecule_0011_ensemble.sdf,COC1=C(C(=CC=C1)OC)O,0.0,1.0,intermediate,0.0,1.0,database,rdkit_closed_shell,0,True,,True,f6d0d8daa966a742161ee04b1fc4129616a49559f4374d6d8a2fe3fa4f849e27
