molecule_id,software,method,calculation_id,new_properties,status
1,xTB,GFN2-xTB,4,0,ok
2,xTB,GFN2-xTB,7,17,ok
3,xTB,GFN2-xTB,8,17,ok
4,xTB,GFN2-xTB,9,17,ok
5,xTB,GFN2-xTB,10,17,ok
6,xTB,GFN2-xTB,11,17,ok
7,xTB,GFN2-xTB,12,17,ok
8,xTB,GFN2-xTB,13,17,ok
9,xTB,GFN2-xTB,14,17,ok
10,xTB,GFN2-xTB,15,17,ok
11,xTB,GFN2-xTB,16,17,ok
12,xTB,GFN2-xTB,17,17,ok
13,xTB,GFN2-xTB,18,17,ok
14,xTB,GFN2-xTB,19,17,ok
15,xTB,GFN2-xTB,20,17,ok
171,xTB,GFN2-xTB,1,17,ok
172,xTB,GFN2-xTB,2,17,ok
173,xTB,GFN2-xTB,3,17,ok
1,ORCA,R2SCAN-3C,5,0,ok
1,ORCA,wB97X-3c,6,0,ok
2,ORCA,R2SCAN-3C,21,10,ok
2,ORCA,wB97X-3c,22,10,ok
3,ORCA,R2SCAN-3C,23,10,ok
3,ORCA,wB97X-3c,24,10,ok
4,ORCA,R2SCAN-3C,25,10,ok
4,ORCA,wB97X-3c,26,10,ok
5,ORCA,R2SCAN-3C,27,10,ok
5,ORCA,wB97X-3c,28,10,ok
6,ORCA,R2SCAN-3C,29,10,ok
6,ORCA,wB97X-3c,30,10,ok
7,ORCA,R2SCAN-3C,31,10,ok
7,ORCA,wB97X-3c,32,10,ok
8,ORCA,R2SCAN-3C,33,10,ok
8,ORCA,wB97X-3c,34,10,ok
9,ORCA,R2SCAN-3C,35,10,ok
9,ORCA,wB97X-3c,36,10,ok
10,ORCA,R2SCAN-3C,37,10,ok
10,ORCA,wB97X-3c,38,10,ok
11,ORCA,R2SCAN-3C,39,10,ok
11,ORCA,wB97X-3c,40,10,ok
12,ORCA,R2SCAN-3C,41,10,ok
12,ORCA,wB97X-3c,42,10,ok
13,ORCA,R2SCAN-3C,43,10,ok
13,ORCA,wB97X-3c,44,10,ok
14,ORCA,R2SCAN-3C,45,10,ok
14,ORCA,wB97X-3c,46,10,ok
15,ORCA,R2SCAN-3C,47,10,ok
15,ORCA,wB97X-3c,48,10,ok
171,ORCA,R2SCAN-3C,49,10,ok
171,ORCA,wB97X-3c,50,10,ok
172,ORCA,R2SCAN-3C,51,10,ok
172,ORCA,wB97X-3c,52,10,ok
173,ORCA,R2SCAN-3C,53,10,ok
173,ORCA,wB97X-3c,54,10,ok
