feature_block,model,n,n_groups,measurement_bases,analysis_level,mae_oof,rmse_oof,r2_oof,median_ae_oof,fold_params
ultimate,ElasticNet,21,20,dry_basis | unknown,exploratory,0.5820815120968253,0.7981183225596905,0.9015568909508004,0.4916801516906517,"[{""fold"": 1, ""best_params"": {""model__alpha"": 0.31622776601683794, ""model__l1_ratio"": 0.7}}, {""fold"": 2, ""best_params"": {""model__alpha"": 0.31622776601683794, ""model__l1_ratio"": 0.9}}, {""fold"": 3, ""best_params"": {""model__alpha"": 0.31622776601683794, ""model__l1_ratio"": 0.9}}, {""fold"": 4, ""best_params"": {""model__alpha"": 0.1, ""model__l1_ratio"": 0.9}}, {""fold"": 5, ""best_params"": {""model__alpha"": 0.31622776601683794, ""model__l1_ratio"": 0.9}}]"
ultimate,GradientBoosting,21,20,dry_basis | unknown,exploratory,0.6602713682492671,0.9453969520030289,0.8618728170681603,0.4314256870300941,"[{""fold"": 1, ""best_params"": {""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 300}}, {""fold"": 2, ""best_params"": {""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 300}}, {""fold"": 3, ""best_params"": {""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__n_estimators"": 300}}, {""fold"": 4, ""best_params"": {""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__n_estimators"": 300}}, {""fold"": 5, ""best_params"": {""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 100}}]"
ultimate,ExtraTrees,21,20,dry_basis | unknown,exploratory,0.6717426355756866,1.0079580367608336,0.8429869814418823,0.48073792191873466,"[{""fold"": 1, ""best_params"": {""model__max_depth"": null, ""model__max_features"": 1.0}}, {""fold"": 2, ""best_params"": {""model__max_depth"": null, ""model__max_features"": 1.0}}, {""fold"": 3, ""best_params"": {""model__max_depth"": null, ""model__max_features"": 1.0}}, {""fold"": 4, ""best_params"": {""model__max_depth"": 5, ""model__max_features"": 1.0}}, {""fold"": 5, ""best_params"": {""model__max_depth"": null, ""model__max_features"": 1.0}}]"
ultimate,RandomForest,21,20,dry_basis | unknown,exploratory,0.6901063496787534,1.0610137303504072,0.8260226277019933,0.3866988839285419,"[{""fold"": 1, ""best_params"": {""model__max_depth"": 3, ""model__max_features"": 1.0}}, {""fold"": 2, ""best_params"": {""model__max_depth"": null, ""model__max_features"": 1.0}}, {""fold"": 3, ""best_params"": {""model__max_depth"": null, ""model__max_features"": 1.0}}, {""fold"": 4, ""best_params"": {""model__max_depth"": 5, ""model__max_features"": 1.0}}, {""fold"": 5, ""best_params"": {""model__max_depth"": null, ""model__max_features"": 1.0}}]"
ultimate,XGBoost,21,20,dry_basis | unknown,exploratory,0.86563898177374,1.128541570053211,0.8031724525310926,0.6089670181274407,"[{""fold"": 1, ""best_params"": {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__subsample"": 1.0}}, {""fold"": 2, ""best_params"": {""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__subsample"": 0.8}}, {""fold"": 3, ""best_params"": {""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__subsample"": 0.8}}, {""fold"": 4, ""best_params"": {""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__subsample"": 0.8}}, {""fold"": 5, ""best_params"": {""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__subsample"": 1.0}}]"
ultimate,SVR_RBF,21,20,dry_basis | unknown,exploratory,0.8140398203723167,1.153481378511985,0.7943768847410702,0.4102705790296284,"[{""fold"": 1, ""best_params"": {""model__C"": 30, ""model__epsilon"": 0.25, ""model__gamma"": 0.01}}, {""fold"": 2, ""best_params"": {""model__C"": 30, ""model__epsilon"": 0.25, ""model__gamma"": 0.01}}, {""fold"": 3, ""best_params"": {""model__C"": 30, ""model__epsilon"": 0.25, ""model__gamma"": 0.01}}, {""fold"": 4, ""best_params"": {""model__C"": 30, ""model__epsilon"": 0.25, ""model__gamma"": 0.01}}, {""fold"": 5, ""best_params"": {""model__C"": 30, ""model__epsilon"": 0.25, ""model__gamma"": 0.01}}]"
ultimate,CatBoost,21,20,dry_basis | unknown,exploratory,0.8907596839640854,1.1778110533717536,0.7856112409573287,0.6948025220261123,"[{""fold"": 1, ""best_params"": {""model__depth"": 3, ""model__iterations"": 600, ""model__learning_rate"": 0.08}}, {""fold"": 2, ""best_params"": {""model__depth"": 3, ""model__iterations"": 600, ""model__learning_rate"": 0.03}}, {""fold"": 3, ""best_params"": {""model__depth"": 3, ""model__iterations"": 300, ""model__learning_rate"": 0.08}}, {""fold"": 4, ""best_params"": {""model__depth"": 3, ""model__iterations"": 600, ""model__learning_rate"": 0.03}}, {""fold"": 5, ""best_params"": {""model__depth"": 3, ""model__iterations"": 600, ""model__learning_rate"": 0.03}}]"
ultimate,Ridge,21,20,dry_basis | unknown,exploratory,1.0280168812634767,1.610908452009714,0.5989555788791303,0.5827200482251342,"[{""fold"": 1, ""best_params"": {""model__alpha"": 3.1622776601683795}}, {""fold"": 2, ""best_params"": {""model__alpha"": 10.0}}, {""fold"": 3, ""best_params"": {""model__alpha"": 0.001}}, {""fold"": 4, ""best_params"": {""model__alpha"": 1.0}}, {""fold"": 5, ""best_params"": {""model__alpha"": 10.0}}]"
proximate,CatBoost,24,23,dry_basis | unknown,exploratory,1.1433772336507746,1.6696092099204873,0.5484601738396259,0.9127608262605555,"[{""fold"": 1, ""best_params"": {""model__depth"": 5, ""model__iterations"": 600, ""model__learning_rate"": 0.03}}, {""fold"": 2, ""best_params"": {""model__depth"": 3, ""model__iterations"": 300, ""model__learning_rate"": 0.03}}, {""fold"": 3, ""best_params"": {""model__depth"": 5, ""model__iterations"": 600, ""model__learning_rate"": 0.03}}, {""fold"": 4, ""best_params"": {""model__depth"": 5, ""model__iterations"": 300, ""model__learning_rate"": 0.03}}, {""fold"": 5, ""best_params"": {""model__depth"": 5, ""model__iterations"": 600, ""model__learning_rate"": 0.03}}]"
proximate,XGBoost,24,23,dry_basis | unknown,exploratory,1.162865039507548,1.7777562053553009,0.48806973623298566,0.8479364776611327,"[{""fold"": 1, ""best_params"": {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__subsample"": 1.0}}, {""fold"": 2, ""best_params"": {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__subsample"": 0.8}}, {""fold"": 3, ""best_params"": {""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__subsample"": 1.0}}, {""fold"": 4, ""best_params"": {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__subsample"": 0.8}}, {""fold"": 5, ""best_params"": {""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__subsample"": 1.0}}]"
