molecule_id,ORCA|R2SCAN-3C|dipole_moment [Debye],ORCA|R2SCAN-3C|electronic_energy [Eh],ORCA|R2SCAN-3C|enthalpy_298K [Eh],ORCA|R2SCAN-3C|gibbs_free_energy_298K [Eh],ORCA|R2SCAN-3C|homo_energy [eV],ORCA|R2SCAN-3C|imaginary_frequency_count [count],ORCA|R2SCAN-3C|isotropic_polarizability [a.u.],ORCA|R2SCAN-3C|lumo_energy [eV],ORCA|R2SCAN-3C|minimum_frequency [cm-1],ORCA|R2SCAN-3C|zero_point_energy [Eh],ORCA|wB97X-3c|chemical_hardness_frontier [eV],ORCA|wB97X-3c|chemical_potential_frontier [eV],ORCA|wB97X-3c|dipole_moment [Debye],ORCA|wB97X-3c|electronegativity_frontier [eV],ORCA|wB97X-3c|electronic_energy [Eh],ORCA|wB97X-3c|electrophilicity_frontier [eV],ORCA|wB97X-3c|homo_energy [eV],ORCA|wB97X-3c|homo_lumo_gap [eV],ORCA|wB97X-3c|isotropic_polarizability [a.u.],ORCA|wB97X-3c|lumo_energy [eV],xTB|GFN2-xTB|chemical_hardness_frontier [eV],xTB|GFN2-xTB|chemical_potential_frontier [eV],xTB|GFN2-xTB|dipole_moment [Debye],xTB|GFN2-xTB|electronegativity_frontier [eV],xTB|GFN2-xTB|electronic_energy [Eh],xTB|GFN2-xTB|electrophilicity_frontier [eV],xTB|GFN2-xTB|enthalpy_298K [Eh],xTB|GFN2-xTB|gibbs_free_energy_298K [Eh],xTB|GFN2-xTB|homo_energy [eV],xTB|GFN2-xTB|homo_lumo_gap [eV],xTB|GFN2-xTB|imaginary_frequency_count [count],xTB|GFN2-xTB|isotropic_polarizability [a.u.],xTB|GFN2-xTB|lumo_energy [eV],xTB|GFN2-xTB|minimum_frequency [cm-1],xTB|GFN2-xTB|molecular_C6 [a.u.],xTB|GFN2-xTB|total_free_energy_298K [Eh],xTB|GFN2-xTB|zero_point_energy [Eh]
1,2.888419292,-687.096578452443,-686.88718918,-686.93762447,0.425498,0.0,95.02893,-0.000686,0.0,0.19601503,6.1339999999999995,-4.4394,3.043102037,4.4394,-137.772319776636,1.606478020867297,-10.5734,12.267999999999999,87.65294,1.6946,5.2344,-6.1101,4.042,6.1101,-43.36294169902,3.566151040233838,0.201988,0.149882,-11.3445,10.4688,0.0,98.324571,-0.8757,-0.0,4718.295463,-43.21305976342,0.18813112533
2,1.90729353,-572.577303496466,-572.40321805,-572.44822996,0.859389,0.0,78.44952,0.0,0.0,0.16321357,6.16605,-4.22415,2.015642997,4.22415,-114.807535237196,1.4469103577249616,-10.3902,12.3321,72.67657,1.9419,5.3319,-5.891100000000001,-1.576,5.891100000000001,-36.136475332947,3.2544739408090932,0.167875,0.121587,-11.223,10.6638,0.0,81.9847,-0.5592,-0.0,3279.441871,-36.014888619702,0.156553886761
3,2.939135672,-457.807846374207,-457.6870514,-457.72941567,0.472322,0.0,83.89521,-2.7683,0.0,0.1115432,4.70685,-4.79295,2.78185446,4.79295,-85.913617643223,2.440312491634533,-9.4998,9.4137,77.20845,-0.0861,1.5137999999999998,-9.6823,7.451,9.6823,-28.0646306417,30.96410797000925,0.117603,0.0743389,-11.1961,3.0275999999999996,0.0,79.649464,-8.1685,-0.0,2676.457689,-27.990291727202,0.108123522233
4,2.584240906,-420.975935581506,-420.83886515,-420.88214682,0.642824,0.0,67.19869,-1.2316,0.0,0.12726869,5.8511500000000005,-4.10275,2.86377911,4.10275,-81.512933198996,1.4383973716705265,-9.9539,11.702300000000001,63.00445,1.7484,2.04605,-8.75415,-5.315,8.75415,-26.986926703699,18.72758295801666,0.134395,0.0901259,-10.8002,4.0921,0.0,70.974924,-6.7081,-0.0,2304.103773,-26.896800826263,0.124400094553
5,2.066400191,-688.292241395868,-688.05972986,-688.11365124,0.707981,0.0,99.17798,0.0,0.0,0.21751748,6.05935,-4.25465,2.199182137,4.25465,-138.983050408914,1.4937284215716204,-10.314,12.1187,91.26297,1.8047,5.302,-5.6449,-0.42,5.6449,-44.363046758795,3.00498830724255,0.224315,0.168109,-10.9469,10.604,0.0,102.93422,-0.3429,-0.0,5141.292697,-44.19493813717,0.208793513946
6,3.808122652,-343.291073094677,-343.2056472,-343.24162992,0.694183,0.0,64.16536,-2.6822,0.0,0.07890623,4.80155,-4.756749999999999,3.716030974,4.756749999999999,-62.951259165703,2.3561839991773486,-9.5583,9.6031,59.92712,0.0448,1.5251000000000001,-9.6084,3.381,9.6084,-20.838424274377,30.26731052390007,0.083517,0.0472462,-11.1335,3.0502000000000002,0.0,63.390013,-8.0833,-0.0,1630.729546,-20.791178095044,0.076852156432
7,1.573811246,-344.491262113518,-344.38164004,-344.41921859,0.465154,0.0,62.85914,-0.8134,0.0,0.10231073,5.4575499999999995,-3.60195,1.782198116,3.60195,-64.1719106592,1.1886326100997702,-9.0595,10.915099999999999,58.81516,1.8556,2.37675,-8.33295,3.612,8.33295,-21.871254929257,14.6077744193752,0.107075,0.0691373,-10.7097,4.7535,0.0,66.212249,-5.9562,-0.0,1828.739354,-21.802117604553,0.099684976541
8,0.636380448,-269.283369059527,-269.1800405,-269.21483235,0.773501,0.0,57.11255,-0.3324,0.0,0.09705394,5.53325,-3.12385,0.72405923,3.12385,-48.12684134596,0.8817999207066373,-8.6571,11.0665,54.87116,2.4094,2.38165,-7.89495,-0.187,7.89495,-17.816401133275,13.085515399512941,0.101995,0.0664674,-10.2766,4.7633,0.0,61.4616,-5.5133,-0.0,1535.524217,-17.749933693088,0.095505113324
9,1.277622092,-307.405960642248,-307.29515355,-307.33062222,0.81546,0.0,69.10484,-0.974,0.0,0.10433519,5.260350000000001,-3.5754500000000005,1.381630025,3.5754500000000005,-53.836535157812,1.2151133196935566,-8.8358,10.520700000000001,66.54999,1.6849,2.1761,-8.2516,0.77,8.2516,-19.95414632317,15.644709011534395,0.107921,0.0722918,-10.4277,4.3522,0.0,72.308594,-6.0755,-0.0,2046.285788,-19.881854567719,0.101331662396
10,2.721774003,-421.912239765092,-421.76640391,-421.80753991,0.991497,0.0,87.11962,-0.6472,0.0,0.136906,5.17325,-3.21915,2.907867667,3.21915,-76.78867103976,1.0015876598366595,-8.3924,10.3465,83.25773,1.9541,2.0838500000000004,-7.988950000000001,-0.248,7.988950000000001,-27.187138220281,15.313799482328383,0.14201,0.10018,-10.0728,4.167700000000001,0.0,88.785848,-5.9051,-0.0,3212.338561,-27.086958014499,0.132823979551
