reactant_id,product_id,reaction_id,reaction_name,reaction_class,temperature_c,pressure_bar,reaction_time_h,yield_pct,conversion_pct,selectivity_pct,trl,source_id
1,3,1,glucose to 5-hydroxymethylfurfural,dehydration,140.0,,0.008333,71.0,96.0,,,26
2,6,2,xylose to furfural,dehydration,180.0,,0.25,92.2,,,,27
6,7,3,furfural to furfuryl alcohol,hydrogenation,150.0,20.0,1.5,88.0,,96.0,,28
6,8,4,furfural to 2-methylfuran,hydrodeoxygenation,180.0,20.0,,92.4,,,,29
3,15,5,"5-hydroxymethylfurfural to 2,5-dimethylfuran",hydrodeoxygenation,200.0,10.0,1.5,97.9,98.7,,,30
4,14,6,levulinic acid to gamma-valerolactone,hydrogenation,140.0,30.0,3.0,100.0,100.0,100.0,,31
10,13,7,guaiacol to cyclohexane,hydrodeoxygenation,140.0,30.0,2.5,91.7,,,,32
4,14,8,levulinic acid to gamma-valerolactone,hydrogenation,230.0,,1.0,,53.0,82.0,,54
4,14,9,levulinic acid to gamma-valerolactone,hydrogenation,270.0,,1.0,,66.0,81.0,,54
4,14,10,levulinic acid to gamma-valerolactone,hydrogenation,290.0,,1.0,,68.0,75.0,,54
4,14,11,levulinic acid to gamma-valerolactone,hydrogenation,90.0,,12.0,,90.93,99.9,,54
4,14,12,levulinic acid to gamma-valerolactone,hydrogenation,190.0,,2.0,86.0,89.0,,,54
4,14,13,levulinic acid to gamma-valerolactone,hydrogenation,240.0,,2.0,83.5,90.8,100.0,,54
4,14,14,levulinic acid to gamma-valerolactone,hydrogenation,270.0,,,,26.0,88.0,,55
4,14,15,levulinic acid to gamma-valerolactone,hydrogenation,270.0,,,,55.0,90.0,,55
4,14,16,levulinic acid to gamma-valerolactone,hydrogenation,270.0,,,,80.0,93.0,,55
4,14,17,levulinic acid to gamma-valerolactone,hydrogenation,270.0,,,,100.0,99.0,,55
4,14,18,levulinic acid to gamma-valerolactone,hydrogenation,270.0,,,,92.0,97.0,,55
4,14,19,levulinic acid to gamma-valerolactone,hydrogenation,160.0,30.0,1.0,,43.0,97.3,,55
4,14,20,levulinic acid to gamma-valerolactone,hydrogenation,160.0,30.0,1.0,,83.0,93.4,,55
4,14,21,levulinic acid to gamma-valerolactone,hydrogenation,160.0,30.0,1.0,,100.0,99.7,,55
4,14,22,levulinic acid to gamma-valerolactone,hydrogenation,160.0,30.0,1.0,,100.0,94.9,,55
4,14,23,levulinic acid to gamma-valerolactone,hydrogenation,160.0,30.0,1.0,,22.0,95.6,,55
4,14,24,levulinic acid to gamma-valerolactone,hydrogenation,265.0,,,,98.0,87.0,,55
4,14,25,levulinic acid to gamma-valerolactone,hydrogenation,265.0,,,,82.0,76.0,,55
4,14,26,levulinic acid to gamma-valerolactone,hydrogenation,265.0,,,,76.0,71.0,,55
4,14,27,levulinic acid to gamma-valerolactone,hydrogenation,265.0,,,,69.0,66.0,,55
4,14,28,levulinic acid to gamma-valerolactone,hydrogenation,265.0,,,,41.0,56.0,,55
4,14,29,levulinic acid to gamma-valerolactone,hydrogenation,250.0,1.0,10.0,,48.0,17.0,,55
4,14,30,levulinic acid to gamma-valerolactone,hydrogenation,250.0,1.0,10.0,,8.0,55.0,,55
4,14,31,levulinic acid to gamma-valerolactone,hydrogenation,250.0,1.0,10.0,,38.0,82.0,,55
4,14,32,levulinic acid to gamma-valerolactone,hydrogenation,250.0,1.0,10.0,,24.0,15.0,,55
4,14,33,levulinic acid to gamma-valerolactone,hydrogenation,250.0,1.0,10.0,,48.0,64.0,,55
4,14,34,levulinic acid to gamma-valerolactone,hydrogenation,180.0,50.0,3.0,,43.0,99.0,,55
4,14,35,levulinic acid to gamma-valerolactone,hydrogenation,180.0,50.0,3.0,,46.0,99.0,,55
4,14,36,levulinic acid to gamma-valerolactone,hydrogenation,180.0,50.0,3.0,,43.0,99.0,,55
