route_id,biomass_id,biomass_name,start_molecule_id,start_molecule,fuel_molecule_id,fuel_molecule,steps,molecule_path_ids,molecule_path,reaction_ids,route_yield_pct,yield_complete,max_temperature_c,max_pressure_bar,total_time_h,pressure_missing_steps,time_missing_steps,min_trl_known,n_reaction_sources,route_delta_E_wB97X3c_kJ_mol,route_delta_G_r2SCAN3c_298K_kJ_mol,n_biomass_evidences,pareto_rank,crowding_distance
1,2,rice straw,2,D-xylose,8,2-methylfuran,2,2 -> 6 -> 8,D-xylose -> furfural -> 2-methylfuran,"2,4",85.19280000000002,True,180.0,20.0,0.25,1,1,,2,,,1,2.0,inf
2,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,5",69.509,True,200.0,10.0,1.508333,1,0,,2,,,4,3.0,inf
3,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,67",43.309999999999995,True,220.0,6.8,10.008333,1,0,,2,,,4,6.0,inf
4,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,68",50.41,True,220.0,6.8,10.008333,1,0,,2,,,4,5.0,inf
5,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,69",22.72,True,140.0,,15.008333,2,0,,2,,,4,4.0,inf
6,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,70",23.43,True,220.0,10.0,6.008333,1,0,,2,,,4,7.0,inf
7,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,71",67.23700000000001,True,200.0,20.0,2.008333,1,0,,2,,,4,4.0,inf
8,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,72",,False,140.0,,15.008333,2,0,,2,,,4,,
9,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,73",42.812999999999995,True,260.0,,1.508333,2,0,,2,,,4,7.0,inf
10,4,corn stover,1,D-glucose,15,"2,5-dimethylfuran",2,1 -> 3 -> 15,"D-glucose -> 5-hydroxymethylfurfural -> 2,5-dimethylfuran","1,74",10.65,True,140.0,62.0,1.008333,1,0,,2,,,4,4.0,inf
